_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
1960,Chennai,Ayanavaram taluk office,12.0,1998-11-17T00:00:00,,,,0
10863,Chennai,Ayanavaram taluk office,22.2,2017-10-30T00:00:00,,,,0
10876,Chennai,Ayanavaram taluk office,152.0,2017-10-31T00:00:00,,,,1
10889,Chennai,Ayanavaram taluk office,39.0,2017-01-11T00:00:00,,,,1
10894,Chennai,Ayanavaram taluk office,44.6,2017-02-11T00:00:00,,,,1
10910,Chennai,Ayanavaram taluk office,120.3,2017-03-11T00:00:00,,,,1
10919,Chennai,Ayanavaram taluk office,54.2,2017-04-11T00:00:00,,,,1
10928,Chennai,Ayanavaram taluk office,15.4,2017-05-11T00:00:00,,,,0
10934,Chennai,Ayanavaram taluk office,22.0,2017-06-11T00:00:00,,,,0
10945,Chennai,Ayanavaram taluk office,31.5,2017-07-11T00:00:00,,,,1
10957,Chennai,Ayanavaram taluk office,28.6,2017-08-11T00:00:00,,,,1
10976,Chennai,Ayanavaram taluk office,3.0,2017-12-11T00:00:00,,,,0
10983,Chennai,Ayanavaram taluk office,62.0,2017-11-13T00:00:00,,,,1
10999,Chennai,Ayanavaram taluk office,31.2,2017-11-14T00:00:00,,,,1
11006,Chennai,Ayanavaram taluk office,12.4,2017-11-15T00:00:00,,,,0
11017,Chennai,Ayanavaram taluk office,4.0,2017-11-20T00:00:00,,,,0
11026,Chennai,Ayanavaram taluk office,0.2,2017-11-21T00:00:00,,,,0
11034,Chennai,Ayanavaram taluk office,91.0,2017-11-27T00:00:00,,,,1
11055,Chennai,Ayanavaram taluk office,27.0,2017-11-30T00:00:00,,,,1
11067,Chennai,Ayanavaram taluk office,55.9,2017-01-12T00:00:00,,,,1
11078,Chennai,Ayanavaram taluk office,2.0,2017-02-12T00:00:00,,,,0
11105,Chennai,Ayanavaram taluk office,0.2,2018-03-17T00:00:00,,,,0
11117,Chennai,Ayanavaram taluk office,7.3,2018-07-06T00:00:00,,,,0
11128,Chennai,Ayanavaram taluk office,6.3,2018-06-16T00:00:00,,,,0
11136,Chennai,Ayanavaram taluk office,8.0,2018-06-27T00:00:00,,,,0
11144,Chennai,Ayanavaram taluk office,66.0,2018-03-07T00:00:00,,,,1
11155,Chennai,Ayanavaram taluk office,6.3,2018-10-07T00:00:00,,,,0
11168,Chennai,Ayanavaram taluk office,4.6,2018-11-07T00:00:00,,,,0
11176,Chennai,Ayanavaram taluk office,28.2,2018-12-07T00:00:00,,,,1
11185,Chennai,Ayanavaram taluk office,8.0,2018-07-13T00:00:00,,,,0
11201,Chennai,Ayanavaram taluk office,6.3,2018-07-24T00:00:00,,,,0
11213,Chennai,Ayanavaram taluk office,12.0,2018-07-27T00:00:00,,,,0
11224,Chennai,Ayanavaram taluk office,7.4,2018-07-30T00:00:00,,,,0
11240,Chennai,Ayanavaram taluk office,1.8,2018-01-08T00:00:00,,,,0
11274,Chennai,Ayanavaram taluk office,10.0,2018-09-08T00:00:00,,,,0
11284,Chennai,Ayanavaram taluk office,22.0,2018-10-08T00:00:00,,,,0
11294,Chennai,Ayanavaram taluk office,8.0,2018-11-08T00:00:00,,,,0
11304,Chennai,Ayanavaram taluk office,7.2,2018-12-08T00:00:00,,,,0
11330,Chennai,Ayanavaram taluk office,46.0,2018-08-15T00:00:00,,,,1
11339,Chennai,Ayanavaram taluk office,7.0,2018-08-17T00:00:00,,,,0
11354,Chennai,Ayanavaram taluk office,2.4,2018-08-25T00:00:00,,,,0
11364,Chennai,Ayanavaram taluk office,18.0,2018-08-28T00:00:00,,,,0
11379,Chennai,Ayanavaram taluk office,32.0,2018-08-31T00:00:00,,,,1
11413,Chennai,Ayanavaram taluk office,32.0,2018-09-17T00:00:00,,,,1
11426,Chennai,Ayanavaram taluk office,12.0,2018-09-18T00:00:00,,,,0
11437,Chennai,Ayanavaram taluk office,20.7,2018-09-19T00:00:00,,,,0
11471,Chennai,Ayanavaram taluk office,4.0,2018-04-10T00:00:00,,,,0
11475,Chennai,Ayanavaram taluk office,72.0,2018-05-10T00:00:00,,,,1
11492,Chennai,Ayanavaram taluk office,28.0,2018-06-10T00:00:00,,,,1
11501,Chennai,Ayanavaram taluk office,15.0,2018-07-10T00:00:00,,,,0
11520,Chennai,Ayanavaram taluk office,21.0,2018-10-18T00:00:00,,,,0
11536,Chennai,Ayanavaram taluk office,2.2,2018-10-21T00:00:00,,,,0
11547,Chennai,Ayanavaram taluk office,12.0,2018-10-31T00:00:00,,,,0
11556,Chennai,Ayanavaram taluk office,59.0,2018-01-11T00:00:00,,,,1
11572,Chennai,Ayanavaram taluk office,11.0,2018-02-11T00:00:00,,,,0
11595,Chennai,Ayanavaram taluk office,4.4,2018-11-15T00:00:00,,,,0
11604,Chennai,Ayanavaram taluk office,7.0,2018-11-16T00:00:00,,,,0
11624,Chennai,Ayanavaram taluk office,7.4,2018-11-20T00:00:00,,,,0
11633,Chennai,Ayanavaram taluk office,12.3,2018-11-21T00:00:00,,,,0
11641,Chennai,Ayanavaram taluk office,59.3,2018-11-22T00:00:00,,,,1
11655,Chennai,Ayanavaram taluk office,18.3,2018-11-23T00:00:00,,,,0
11667,Chennai,Ayanavaram taluk office,12.2,2018-04-12T00:00:00,,,,0
11683,Chennai,Ayanavaram taluk office,12.2,2018-06-12T00:00:00,,,,0
11711,Chennai,Ayanavaram taluk office,5.0,2019-10-07T00:00:00,,,,0
11727,Chennai,Ayanavaram taluk office,42.0,2019-07-16T00:00:00,,,,1
11745,Chennai,Ayanavaram taluk office,10.0,2019-07-22T00:00:00,,,,0
11766,Chennai,Ayanavaram taluk office,38.0,2019-07-24T00:00:00,,,,1
11783,Chennai,Ayanavaram taluk office,13.0,2019-07-25T00:00:00,,,,0
11795,Chennai,Ayanavaram taluk office,13.2,2019-07-26T00:00:00,,,,0
11810,Chennai,Ayanavaram taluk office,4.0,2019-05-08T00:00:00,,,,0
11839,Chennai,Ayanavaram taluk office,11.0,2019-08-15T00:00:00,,,,0
11856,Chennai,Ayanavaram taluk office,62.0,2019-08-18T00:00:00,,,,1
11874,Chennai,Ayanavaram taluk office,17.0,2019-08-19T00:00:00,,,,0
11890,Chennai,Ayanavaram taluk office,10.0,2019-08-21T00:00:00,,,,0
11902,Chennai,Ayanavaram taluk office,5.0,2019-08-24T00:00:00,,,,0
11917,Chennai,Ayanavaram taluk office,20.0,2019-08-29T00:00:00,,,,0
11934,Chennai,Ayanavaram taluk office,20.0,2019-08-31T00:00:00,,,,0
11959,Chennai,Ayanavaram taluk office,5.0,2019-04-09T00:00:00,,,,0
11973,Chennai,Ayanavaram taluk office,4.0,2019-05-09T00:00:00,,,,0
11991,Chennai,Ayanavaram taluk office,7.0,2019-12-09T00:00:00,,,,0
12009,Chennai,Ayanavaram taluk office,3.0,2019-09-16T00:00:00,,,,0
12021,Chennai,Ayanavaram taluk office,3.0,2019-09-17T00:00:00,,,,0
12028,Chennai,Ayanavaram taluk office,96.0,2019-09-19T00:00:00,,,,1
12040,Chennai,Ayanavaram taluk office,33.0,2019-09-20T00:00:00,,,,1
12052,Chennai,Ayanavaram taluk office,8.0,2019-09-21T00:00:00,,,,0
12063,Chennai,Ayanavaram taluk office,6.0,2019-09-23T00:00:00,,,,0
12072,Chennai,Ayanavaram taluk office,6.0,2019-09-24T00:00:00,,,,0
12085,Chennai,Ayanavaram taluk office,29.0,2019-09-26T00:00:00,,,,1
12103,Chennai,Ayanavaram taluk office,3.0,2019-10-15T00:00:00,,,,0
12111,Chennai,Ayanavaram taluk office,7.0,2019-10-16T00:00:00,,,,0
12127,Chennai,Ayanavaram taluk office,6.0,2019-10-17T00:00:00,,,,0
12130,Chennai,Ayanavaram taluk office,132.0,2019-10-18T00:00:00,,,,1
12145,Chennai,Ayanavaram taluk office,10.0,2019-10-19T00:00:00,,,,0
12154,Chennai,Ayanavaram taluk office,14.2,2019-10-20T00:00:00,,,,0
12168,Chennai,Ayanavaram taluk office,38.3,2019-10-21T00:00:00,,,,1
12182,Chennai,Ayanavaram taluk office,20.0,2019-10-22T00:00:00,,,,0
12191,Chennai,Ayanavaram taluk office,4.0,2019-10-23T00:00:00,,,,0
12196,Chennai,Ayanavaram taluk office,4.0,2019-10-24T00:00:00,,,,0
12206,Chennai,Ayanavaram taluk office,20.2,2019-10-26T00:00:00,,,,0
12221,Chennai,Ayanavaram taluk office,3.0,2019-10-28T00:00:00,,,,0
12229,Chennai,Ayanavaram taluk office,5.0,2019-10-29T00:00:00,,,,0
12243,Chennai,Ayanavaram taluk office,36.0,2019-10-30T00:00:00,,,,1
12250,Chennai,Ayanavaram taluk office,17.0,2019-10-31T00:00:00,,,,0
12258,Chennai,Ayanavaram taluk office,6.0,2019-01-11T00:00:00,,,,0
12266,Chennai,Ayanavaram taluk office,3.0,2019-11-13T00:00:00,,,,0
12268,Chennai,Ayanavaram taluk office,3.0,2019-11-14T00:00:00,,,,0
12270,Chennai,Ayanavaram taluk office,9.0,2019-11-15T00:00:00,,,,0
12286,Chennai,Ayanavaram taluk office,2.0,2019-11-18T00:00:00,,,,0
12294,Chennai,Ayanavaram taluk office,19.0,2019-11-20T00:00:00,,,,0
12315,Chennai,Ayanavaram taluk office,7.0,2019-11-22T00:00:00,,,,0
12326,Chennai,Ayanavaram taluk office,2.0,2019-11-23T00:00:00,,,,0
12333,Chennai,Ayanavaram taluk office,7.0,2019-11-24T00:00:00,,,,0
12354,Chennai,Ayanavaram taluk office,15.0,2019-11-28T00:00:00,,,,0
12362,Chennai,Ayanavaram taluk office,18.0,2019-11-29T00:00:00,,,,0
12376,Chennai,Ayanavaram taluk office,2.0,2019-11-30T00:00:00,,,,0
12383,Chennai,Ayanavaram taluk office,58.0,2019-01-12T00:00:00,,,,1
12395,Chennai,Ayanavaram taluk office,48.0,2019-02-12T00:00:00,,,,1
12410,Chennai,Ayanavaram taluk office,14.0,2019-12-15T00:00:00,,,,0
12421,Chennai,Ayanavaram taluk office,3.0,2019-12-16T00:00:00,,,,0
12426,Chennai,Ayanavaram taluk office,3.0,2019-12-17T00:00:00,,,,0
12448,Chennai,Ayanavaram taluk office,29.0,2019-12-30T00:00:00,,,,1
12458,Chennai,Ayanavaram taluk office,1.0,2019-12-31T00:00:00,,,,0
12466,Chennai,Ayanavaram taluk office,48.0,2020-02-01T00:00:00,,,,1
12482,Chennai,Ayanavaram taluk office,5.0,2020-07-01T00:00:00,,,,0
12497,Chennai,Ayanavaram taluk office,4.0,2020-10-04T00:00:00,,,,0
12503,Chennai,Ayanavaram taluk office,3.2,2020-04-27T00:00:00,,,,0
12518,Chennai,Ayanavaram taluk office,2.0,2020-12-06T00:00:00,,,,0
12527,Chennai,Ayanavaram taluk office,4.0,2020-06-21T00:00:00,,,,0
12534,Chennai,Ayanavaram taluk office,15.2,2020-06-22T00:00:00,,,,0
12548,Chennai,Ayanavaram taluk office,1.0,2020-06-26T00:00:00,,,,0
12558,Chennai,Ayanavaram taluk office,2.0,2020-06-29T00:00:00,,,,0
12565,Chennai,Ayanavaram taluk office,5.0,2020-06-30T00:00:00,,,,0
12572,Chennai,Ayanavaram taluk office,30.0,2020-02-07T00:00:00,,,,1
12585,Chennai,Ayanavaram taluk office,3.0,2020-03-07T00:00:00,,,,0
12596,Chennai,Ayanavaram taluk office,2.0,2020-04-07T00:00:00,,,,0
12612,Chennai,Ayanavaram taluk office,8.0,2020-10-07T00:00:00,,,,0
12618,Chennai,Ayanavaram taluk office,12.0,2020-11-07T00:00:00,,,,0
12633,Chennai,Ayanavaram taluk office,2.0,2020-07-14T00:00:00,,,,0
12635,Chennai,Ayanavaram taluk office,5.0,2020-07-16T00:00:00,,,,0
12652,Chennai,Ayanavaram taluk office,7.0,2020-07-20T00:00:00,,,,0
12663,Chennai,Ayanavaram taluk office,3.0,2020-07-27T00:00:00,,,,0
12669,Chennai,Ayanavaram taluk office,23.2,2020-07-29T00:00:00,,,,1
12682,Chennai,Ayanavaram taluk office,10.2,2020-07-30T00:00:00,,,,0
12688,Chennai,Ayanavaram taluk office,58.0,2020-01-08T00:00:00,,,,1
12701,Chennai,Ayanavaram taluk office,15.2,2020-03-08T00:00:00,,,,0
12722,Chennai,Ayanavaram taluk office,22.0,2020-09-08T00:00:00,,,,0
12744,Chennai,Ayanavaram taluk office,6.0,2020-12-08T00:00:00,,,,0
12765,Chennai,Ayanavaram taluk office,2.0,2020-08-28T00:00:00,,,,0
12786,Chennai,Ayanavaram taluk office,30.2,2020-09-14T00:00:00,,,,1
12800,Chennai,Ayanavaram taluk office,2.0,2020-09-15T00:00:00,,,,0
12822,Chennai,Ayanavaram taluk office,2.0,2020-09-17T00:00:00,,,,0
12831,Chennai,Ayanavaram taluk office,56.2,2020-09-19T00:00:00,,,,1
12838,Chennai,Ayanavaram taluk office,3.0,2020-09-26T00:00:00,,,,0
12858,Chennai,Ayanavaram taluk office,11.0,2020-09-30T00:00:00,,,,0
12878,Chennai,Ayanavaram taluk office,10.0,2020-10-13T00:00:00,,,,0
12884,Chennai,Ayanavaram taluk office,43.2,2020-10-17T00:00:00,,,,1
12899,Chennai,Ayanavaram taluk office,2.0,2020-10-18T00:00:00,,,,0
12908,Chennai,Ayanavaram taluk office,15.0,2020-10-19T00:00:00,,,,0
12919,Chennai,Ayanavaram taluk office,19.0,2020-10-21T00:00:00,,,,0
12932,Chennai,Ayanavaram taluk office,59.2,2020-10-23T00:00:00,,,,1
12954,Chennai,Ayanavaram taluk office,2.0,2020-10-28T00:00:00,,,,0
12966,Chennai,Ayanavaram taluk office,53.0,2020-10-29T00:00:00,,,,1
12972,Chennai,Ayanavaram taluk office,50.2,2020-10-30T00:00:00,,,,1
12979,Chennai,Ayanavaram taluk office,2.0,2020-04-11T00:00:00,,,,0
12992,Chennai,Ayanavaram taluk office,12.2,2020-05-11T00:00:00,,,,0
13000,Chennai,Ayanavaram taluk office,2.0,2020-06-11T00:00:00,,,,0
13006,Chennai,Ayanavaram taluk office,7.0,2020-07-11T00:00:00,,,,0
13018,Chennai,Ayanavaram taluk office,23.0,2020-08-11T00:00:00,,,,1
13027,Chennai,Ayanavaram taluk office,15.2,2020-12-11T00:00:00,,,,0
13038,Chennai,Ayanavaram taluk office,43.0,2020-11-13T00:00:00,,,,1
13054,Chennai,Ayanavaram taluk office,10.2,2020-11-15T00:00:00,,,,0
13063,Chennai,Ayanavaram taluk office,19.0,2020-11-16T00:00:00,,,,0
13075,Chennai,Ayanavaram taluk office,37.2,2020-11-17T00:00:00,,,,1
13083,Chennai,Ayanavaram taluk office,4.0,2020-11-18T00:00:00,,,,0
13096,Chennai,Ayanavaram taluk office,52.0,2020-11-24T00:00:00,,,,1
13114,Chennai,Ayanavaram taluk office,105.0,2020-11-25T00:00:00,,,,1
13122,Chennai,Ayanavaram taluk office,111.4,2020-11-26T00:00:00,,,,1
13133,Chennai,Ayanavaram taluk office,5.2,2020-11-27T00:00:00,,,,0
13143,Chennai,Ayanavaram taluk office,2.0,2020-11-30T00:00:00,,,,0
13163,Chennai,Ayanavaram taluk office,26.3,2020-03-12T00:00:00,,,,1
13171,Chennai,Ayanavaram taluk office,36.0,2020-04-12T00:00:00,,,,1
13181,Chennai,Ayanavaram taluk office,74.2,2020-05-12T00:00:00,,,,1
13194,Chennai,Ayanavaram taluk office,22.0,2020-06-12T00:00:00,,,,0
13203,Chennai,Ayanavaram taluk office,14.2,2020-07-12T00:00:00,,,,0
13214,Chennai,Ayanavaram taluk office,18.0,2020-08-12T00:00:00,,,,0
13229,Chennai,Ayanavaram taluk office,3.0,2020-09-12T00:00:00,,,,0
13248,Chennai,Ayanavaram taluk office,3.0,2020-12-17T00:00:00,,,,0
13249,Chennai,Ayanavaram taluk office,3.0,2020-12-17T00:00:00,,,,0
13260,Chennai,Ayanavaram taluk office,9.0,2020-12-31T00:00:00,,,,0
13261,Chennai,Ayanavaram taluk office,9.0,2020-12-31T00:00:00,,,,0
13294,Chennai,Ayanavaram taluk office,5.0,2021-03-01T00:00:00,,,,0
13295,Chennai,Ayanavaram taluk office,5.0,2021-03-01T00:00:00,,,,0
13316,Chennai,Ayanavaram taluk office,14.2,2021-05-01T00:00:00,,,,0
13317,Chennai,Ayanavaram taluk office,14.2,2021-05-01T00:00:00,,,,0
13340,Chennai,Ayanavaram taluk office,128.2,2021-06-01T00:00:00,,,,1
13341,Chennai,Ayanavaram taluk office,128.2,2021-06-01T00:00:00,,,,1
13368,Chennai,Ayanavaram taluk office,12.0,2021-07-01T00:00:00,,,,0
13369,Chennai,Ayanavaram taluk office,12.0,2021-07-01T00:00:00,,,,0
13391,Chennai,Ayanavaram taluk office,2.0,2021-08-01T00:00:00,,,,0
13394,Chennai,Ayanavaram taluk office,2.0,2021-08-01T00:00:00,,,,0
13427,Chennai,Ayanavaram taluk office,10.0,2021-04-15T00:00:00,,,,0
13435,Chennai,Ayanavaram taluk office,8.0,2021-05-21T00:00:00,,,,0
13449,Chennai,Ayanavaram taluk office,5.0,2021-05-22T00:00:00,,,,0
13457,Chennai,Ayanavaram taluk office,12.0,2021-08-06T00:00:00,,,,0
13467,Chennai,Ayanavaram taluk office,1.5,2021-06-13T00:00:00,,,,0
13479,Chennai,Ayanavaram taluk office,5.0,2021-06-20T00:00:00,,,,0
13486,Chennai,Ayanavaram taluk office,5.0,2021-06-24T00:00:00,,,,0
13490,Chennai,Ayanavaram taluk office,33.0,2021-06-28T00:00:00,,,,1
13508,Chennai,Ayanavaram taluk office,5.1,2021-03-07T00:00:00,,,,0
13522,Chennai,Ayanavaram taluk office,24.2,2021-09-07T00:00:00,,,,1
13525,Chennai,Ayanavaram taluk office,9.0,2021-10-07T00:00:00,,,,0
13536,Chennai,Ayanavaram taluk office,3.0,2021-12-07T00:00:00,,,,0
13545,Chennai,Ayanavaram taluk office,2.8,2021-07-14T00:00:00,,,,0
13554,Chennai,Ayanavaram taluk office,21.5,2021-07-15T00:00:00,,,,0
13575,Chennai,Ayanavaram taluk office,73.0,2021-07-17T00:00:00,,,,1
13585,Chennai,Ayanavaram taluk office,28.0,2021-07-18T00:00:00,,,,1
13596,Chennai,Ayanavaram taluk office,5.0,2021-07-19T00:00:00,,,,0
13603,Chennai,Ayanavaram taluk office,26.0,2021-07-20T00:00:00,,,,1
13620,Chennai,Ayanavaram taluk office,5.2,2021-07-21T00:00:00,,,,0
13636,Chennai,Ayanavaram taluk office,28.2,2021-07-27T00:00:00,,,,1
13647,Chennai,Ayanavaram taluk office,16.0,2021-01-08T00:00:00,,,,0
13673,Chennai,Ayanavaram taluk office,2.1,2021-10-08T00:00:00,,,,0
13681,Chennai,Ayanavaram taluk office,33.0,2021-08-17T00:00:00,,,,1
13702,Chennai,Ayanavaram taluk office,3.2,2021-08-20T00:00:00,,,,0
13704,Chennai,Ayanavaram taluk office,62.5,2021-08-22T00:00:00,,,,1
13722,Chennai,Ayanavaram taluk office,8.0,2021-08-27T00:00:00,,,,0
13733,Chennai,Ayanavaram taluk office,34.0,2021-08-28T00:00:00,,,,1
13742,Chennai,Ayanavaram taluk office,53.0,2021-08-29T00:00:00,,,,1
13757,Chennai,Ayanavaram taluk office,4.0,2021-08-30T00:00:00,,,,0
