_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
10846,Chennai,CD Hospital Tondiarpet,0.4,2017-10-27T00:00:00,,,,0
10856,Chennai,CD Hospital Tondiarpet,0.6,2017-10-28T00:00:00,,,,0
10865,Chennai,CD Hospital Tondiarpet,17.0,2017-10-30T00:00:00,,,,0
10880,Chennai,CD Hospital Tondiarpet,116.2,2017-10-31T00:00:00,,,,1
10891,Chennai,CD Hospital Tondiarpet,28.3,2017-01-11T00:00:00,,,,1
10893,Chennai,CD Hospital Tondiarpet,45.4,2017-02-11T00:00:00,,,,1
10908,Chennai,CD Hospital Tondiarpet,138.1,2017-03-11T00:00:00,,,,1
10921,Chennai,CD Hospital Tondiarpet,47.2,2017-04-11T00:00:00,,,,1
10924,Chennai,CD Hospital Tondiarpet,19.4,2017-05-11T00:00:00,,,,0
10935,Chennai,CD Hospital Tondiarpet,20.2,2017-06-11T00:00:00,,,,0
10947,Chennai,CD Hospital Tondiarpet,24.4,2017-07-11T00:00:00,,,,1
10954,Chennai,CD Hospital Tondiarpet,46.2,2017-08-11T00:00:00,,,,1
10967,Chennai,CD Hospital Tondiarpet,5.3,2017-11-11T00:00:00,,,,0
10975,Chennai,CD Hospital Tondiarpet,3.0,2017-12-11T00:00:00,,,,0
10984,Chennai,CD Hospital Tondiarpet,57.0,2017-11-13T00:00:00,,,,1
10997,Chennai,CD Hospital Tondiarpet,32.4,2017-11-14T00:00:00,,,,1
11008,Chennai,CD Hospital Tondiarpet,9.2,2017-11-15T00:00:00,,,,0
11040,Chennai,CD Hospital Tondiarpet,57.0,2017-11-27T00:00:00,,,,1
11049,Chennai,CD Hospital Tondiarpet,0.1,2017-11-28T00:00:00,,,,0
11051,Chennai,CD Hospital Tondiarpet,39.0,2017-11-30T00:00:00,,,,1
11071,Chennai,CD Hospital Tondiarpet,43.4,2017-01-12T00:00:00,,,,1
11102,Chennai,CD Hospital Tondiarpet,0.3,2018-03-17T00:00:00,,,,0
11116,Chennai,CD Hospital Tondiarpet,10.2,2018-07-06T00:00:00,,,,0
11125,Chennai,CD Hospital Tondiarpet,8.4,2018-06-16T00:00:00,,,,0
11151,Chennai,CD Hospital Tondiarpet,43.1,2018-03-07T00:00:00,,,,1
11191,Chennai,CD Hospital Tondiarpet,3.0,2018-07-13T00:00:00,,,,0
11218,Chennai,CD Hospital Tondiarpet,1.4,2018-07-27T00:00:00,,,,0
11228,Chennai,CD Hospital Tondiarpet,2.1,2018-07-30T00:00:00,,,,0
11237,Chennai,CD Hospital Tondiarpet,2.6,2018-01-08T00:00:00,,,,0
11277,Chennai,CD Hospital Tondiarpet,7.3,2018-09-08T00:00:00,,,,0
11282,Chennai,CD Hospital Tondiarpet,24.1,2018-10-08T00:00:00,,,,1
11302,Chennai,CD Hospital Tondiarpet,3.4,2018-11-08T00:00:00,,,,0
11312,Chennai,CD Hospital Tondiarpet,3.7,2018-12-08T00:00:00,,,,0
11333,Chennai,CD Hospital Tondiarpet,19.0,2018-08-15T00:00:00,,,,0
11338,Chennai,CD Hospital Tondiarpet,17.0,2018-08-17T00:00:00,,,,0
11349,Chennai,CD Hospital Tondiarpet,4.0,2018-08-24T00:00:00,,,,0
11363,Chennai,CD Hospital Tondiarpet,20.0,2018-08-28T00:00:00,,,,0
11377,Chennai,CD Hospital Tondiarpet,59.0,2018-08-31T00:00:00,,,,1
11416,Chennai,CD Hospital Tondiarpet,28.4,2018-09-17T00:00:00,,,,1
11420,Chennai,CD Hospital Tondiarpet,41.8,2018-09-18T00:00:00,,,,1
11442,Chennai,CD Hospital Tondiarpet,15.4,2018-09-19T00:00:00,,,,0
11463,Chennai,CD Hospital Tondiarpet,12.4,2018-04-10T00:00:00,,,,0
11483,Chennai,CD Hospital Tondiarpet,38.6,2018-05-10T00:00:00,,,,1
11487,Chennai,CD Hospital Tondiarpet,37.3,2018-06-10T00:00:00,,,,1
11506,Chennai,CD Hospital Tondiarpet,4.0,2018-07-10T00:00:00,,,,0
11526,Chennai,CD Hospital Tondiarpet,6.2,2018-10-18T00:00:00,,,,0
11538,Chennai,CD Hospital Tondiarpet,1.6,2018-10-21T00:00:00,,,,0
11544,Chennai,CD Hospital Tondiarpet,23.4,2018-10-31T00:00:00,,,,1
11563,Chennai,CD Hospital Tondiarpet,26.1,2018-01-11T00:00:00,,,,1
11566,Chennai,CD Hospital Tondiarpet,17.5,2018-02-11T00:00:00,,,,0
11586,Chennai,CD Hospital Tondiarpet,1.4,2018-04-11T00:00:00,,,,0
11592,Chennai,CD Hospital Tondiarpet,6.5,2018-11-15T00:00:00,,,,0
11612,Chennai,CD Hospital Tondiarpet,0.1,2018-11-16T00:00:00,,,,0
11636,Chennai,CD Hospital Tondiarpet,9.4,2018-11-21T00:00:00,,,,0
11646,Chennai,CD Hospital Tondiarpet,48.3,2018-11-22T00:00:00,,,,1
11660,Chennai,CD Hospital Tondiarpet,12.2,2018-11-23T00:00:00,,,,0
11666,Chennai,CD Hospital Tondiarpet,12.8,2018-04-12T00:00:00,,,,0
11679,Chennai,CD Hospital Tondiarpet,1.0,2018-05-12T00:00:00,,,,0
11682,Chennai,CD Hospital Tondiarpet,13.8,2018-06-12T00:00:00,,,,0
11717,Chennai,CD Hospital Tondiarpet,1.0,2019-10-07T00:00:00,,,,0
11730,Chennai,CD Hospital Tondiarpet,34.5,2019-07-16T00:00:00,,,,1
11752,Chennai,CD Hospital Tondiarpet,2.0,2019-07-22T00:00:00,,,,0
11757,Chennai,CD Hospital Tondiarpet,3.0,2019-07-23T00:00:00,,,,0
11770,Chennai,CD Hospital Tondiarpet,32.8,2019-07-24T00:00:00,,,,1
11785,Chennai,CD Hospital Tondiarpet,5.2,2019-07-25T00:00:00,,,,0
11797,Chennai,CD Hospital Tondiarpet,8.0,2019-07-26T00:00:00,,,,0
11807,Chennai,CD Hospital Tondiarpet,6.8,2019-05-08T00:00:00,,,,0
11831,Chennai,CD Hospital Tondiarpet,1.7,2019-08-14T00:00:00,,,,0
11835,Chennai,CD Hospital Tondiarpet,13.8,2019-08-15T00:00:00,,,,0
11860,Chennai,CD Hospital Tondiarpet,24.1,2019-08-18T00:00:00,,,,1
11875,Chennai,CD Hospital Tondiarpet,14.6,2019-08-19T00:00:00,,,,0
11888,Chennai,CD Hospital Tondiarpet,17.5,2019-08-21T00:00:00,,,,0
11904,Chennai,CD Hospital Tondiarpet,2.5,2019-08-24T00:00:00,,,,0
11918,Chennai,CD Hospital Tondiarpet,18.5,2019-08-29T00:00:00,,,,0
