_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
3564,Chennai,Chennai AP,5.4,2004-09-30T00:00:00,,,,0
3567,Chennai,Chennai AP,2.2,2004-01-10T00:00:00,,,,0
3573,Chennai,Chennai AP,19.25,2004-02-10T00:00:00,,,,1
3584,Chennai,Chennai AP,0.6,2004-10-10T00:00:00,,,,0
3585,Chennai,Chennai AP,0.6,2004-11-10T00:00:00,,,,0
3586,Chennai,Chennai AP,27.4,2004-10-13T00:00:00,,,,1
3588,Chennai,Chennai AP,31.8,2004-10-14T00:00:00,,,,1
3597,Chennai,Chennai AP,11.0,2004-10-15T00:00:00,,,,0
3608,Chennai,Chennai AP,0.4,2004-10-17T00:00:00,,,,0
3611,Chennai,Chennai AP,21.4,2004-10-18T00:00:00,,,,1
3620,Chennai,Chennai AP,28.0,2004-10-19T00:00:00,,,,1
3631,Chennai,Chennai AP,16.2,2004-10-20T00:00:00,,,,1
3643,Chennai,Chennai AP,3.8,2004-10-21T00:00:00,,,,0
3651,Chennai,Chennai AP,7.6,2004-10-22T00:00:00,,,,0
3656,Chennai,Chennai AP,11.0,2004-10-23T00:00:00,,,,0
3675,Chennai,Chennai AP,6.0,2004-10-24T00:00:00,,,,0
3676,Chennai,Chennai AP,29.0,2004-10-25T00:00:00,,,,1
3696,Chennai,Chennai AP,0.8,2004-10-26T00:00:00,,,,0
3705,Chennai,Chennai AP,7.4,2004-10-27T00:00:00,,,,0
3709,Chennai,Chennai AP,41.6,2004-10-28T00:00:00,,,,1
3726,Chennai,Chennai AP,50.8,2004-10-29T00:00:00,,,,1
3738,Chennai,Chennai AP,46.4,2004-10-30T00:00:00,,,,1
3742,Chennai,Chennai AP,20.4,2004-10-31T00:00:00,,,,1
3753,Chennai,Chennai AP,6.2,2004-01-11T00:00:00,,,,0
3772,Chennai,Chennai AP,0.2,2004-02-11T00:00:00,,,,0
3776,Chennai,Chennai AP,1.0,2004-03-11T00:00:00,,,,0
3782,Chennai,Chennai AP,0.4,2004-04-11T00:00:00,,,,0
3783,Chennai,Chennai AP,1.6,2004-05-11T00:00:00,,,,0
3797,Chennai,Chennai AP,75.8,2004-06-11T00:00:00,,,,1
3809,Chennai,Chennai AP,52.0,2004-07-11T00:00:00,,,,1
3818,Chennai,Chennai AP,11.8,2004-08-11T00:00:00,,,,0
3835,Chennai,Chennai AP,9.6,2004-10-11T00:00:00,,,,0
3848,Chennai,Chennai AP,0.7,2004-11-11T00:00:00,,,,0
3854,Chennai,Chennai AP,9.9,2004-12-11T00:00:00,,,,0
3868,Chennai,Chennai AP,58.9,2004-11-13T00:00:00,,,,1
3875,Chennai,Chennai AP,6.8,2004-11-26T00:00:00,,,,0
3892,Chennai,Chennai AP,2.9,2004-11-27T00:00:00,,,,0
3893,Chennai,Chennai AP,0.8,2004-08-12T00:00:00,,,,0
3900,Chennai,Chennai AP,7.2,2004-09-12T00:00:00,,,,0
3911,Chennai,Chennai AP,2.2,2004-12-13T00:00:00,,,,0
3918,Chennai,Chennai AP,4.4,2004-12-14T00:00:00,,,,0
3925,Chennai,Chennai AP,0.2,2004-12-29T00:00:00,,,,0
3929,Chennai,Chennai AP,0.3,2005-01-22T00:00:00,,,,0
3931,Chennai,Chennai AP,5.5,2005-02-02T00:00:00,,,,0
3935,Chennai,Chennai AP,1.2,2005-04-02T00:00:00,,,,0
3936,Chennai,Chennai AP,1.6,2005-09-03T00:00:00,,,,0
3937,Chennai,Chennai AP,5.6,2005-03-04T00:00:00,,,,0
3943,Chennai,Chennai AP,0.4,2005-04-04T00:00:00,,,,0
3950,Chennai,Chennai AP,30.6,2005-05-04T00:00:00,,,,1
3957,Chennai,Chennai AP,121.6,2005-06-04T00:00:00,,,,1
3966,Chennai,Chennai AP,2.1,2005-07-04T00:00:00,,,,0
3972,Chennai,Chennai AP,1.5,2005-08-04T00:00:00,,,,0
3976,Chennai,Chennai AP,0.1,2005-12-04T00:00:00,,,,0
3977,Chennai,Chennai AP,0.6,2005-04-29T00:00:00,,,,0
3984,Chennai,Chennai AP,34.0,2005-02-05T00:00:00,,,,1
3991,Chennai,Chennai AP,17.8,2005-04-05T00:00:00,,,,1
3995,Chennai,Chennai AP,0.6,2005-05-05T00:00:00,,,,0
4002,Chennai,Chennai AP,3.6,2005-09-06T00:00:00,,,,0
4007,Chennai,Chennai AP,3.0,2005-06-21T00:00:00,,,,0
4013,Chennai,Chennai AP,2.1,2005-06-23T00:00:00,,,,0
4014,Chennai,Chennai AP,4.8,2005-06-25T00:00:00,,,,0
4018,Chennai,Chennai AP,0.1,2005-03-07T00:00:00,,,,0
4022,Chennai,Chennai AP,2.4,2005-06-07T00:00:00,,,,0
4025,Chennai,Chennai AP,0.1,2005-07-07T00:00:00,,,,0
4030,Chennai,Chennai AP,1.4,2005-09-07T00:00:00,,,,0
4034,Chennai,Chennai AP,0.1,2005-11-07T00:00:00,,,,0
4036,Chennai,Chennai AP,0.1,2005-12-07T00:00:00,,,,0
4046,Chennai,Chennai AP,37.8,2005-07-21T00:00:00,,,,1
4052,Chennai,Chennai AP,12.8,2005-07-23T00:00:00,,,,0
4064,Chennai,Chennai AP,29.9,2005-07-24T00:00:00,,,,1
4071,Chennai,Chennai AP,3.3,2005-07-26T00:00:00,,,,0
4079,Chennai,Chennai AP,0.8,2005-07-27T00:00:00,,,,0
4080,Chennai,Chennai AP,1.9,2005-07-29T00:00:00,,,,0
4092,Chennai,Chennai AP,1.0,2005-06-08T00:00:00,,,,0
4097,Chennai,Chennai AP,0.1,2005-10-08T00:00:00,,,,0
4098,Chennai,Chennai AP,5.0,2005-11-08T00:00:00,,,,0
4104,Chennai,Chennai AP,35.0,2005-08-15T00:00:00,,,,1
4116,Chennai,Chennai AP,11.3,2005-08-16T00:00:00,,,,0
4127,Chennai,Chennai AP,0.2,2005-08-17T00:00:00,,,,0
4128,Chennai,Chennai AP,7.0,2005-08-20T00:00:00,,,,0
4136,Chennai,Chennai AP,3.4,2005-08-26T00:00:00,,,,0
4141,Chennai,Chennai AP,2.8,2005-08-31T00:00:00,,,,0
4148,Chennai,Chennai AP,12.0,2005-07-09T00:00:00,,,,0
4159,Chennai,Chennai AP,2.6,2005-08-09T00:00:00,,,,0
4164,Chennai,Chennai AP,50.9,2005-09-09T00:00:00,,,,1
4174,Chennai,Chennai AP,28.0,2005-10-09T00:00:00,,,,1
4190,Chennai,Chennai AP,12.4,2005-11-09T00:00:00,,,,0
4193,Chennai,Chennai AP,0.1,2005-09-23T00:00:00,,,,0
4198,Chennai,Chennai AP,28.8,2005-09-25T00:00:00,,,,1
4208,Chennai,Chennai AP,6.0,2005-09-30T00:00:00,,,,0
4217,Chennai,Chennai AP,26.9,2005-02-10T00:00:00,,,,1
4219,Chennai,Chennai AP,15.2,2005-03-10T00:00:00,,,,0
4222,Chennai,Chennai AP,12.7,2005-07-10T00:00:00,,,,0
4230,Chennai,Chennai AP,16.0,2005-10-10T00:00:00,,,,0
4238,Chennai,Chennai AP,2.8,2005-11-10T00:00:00,,,,0
4247,Chennai,Chennai AP,66.0,2005-12-10T00:00:00,,,,1
4255,Chennai,Chennai AP,93.8,2005-10-13T00:00:00,,,,1
4264,Chennai,Chennai AP,19.2,2005-10-14T00:00:00,,,,1
4282,Chennai,Chennai AP,20.4,2005-10-19T00:00:00,,,,1
4288,Chennai,Chennai AP,34.6,2005-10-20T00:00:00,,,,1
4293,Chennai,Chennai AP,19.2,2005-10-21T00:00:00,,,,1
4301,Chennai,Chennai AP,4.3,2005-10-22T00:00:00,,,,0
4302,Chennai,Chennai AP,33.0,2005-10-23T00:00:00,,,,1
4316,Chennai,Chennai AP,24.7,2005-10-24T00:00:00,,,,1
4327,Chennai,Chennai AP,27.5,2005-10-25T00:00:00,,,,1
4337,Chennai,Chennai AP,13.0,2005-10-26T00:00:00,,,,0
4343,Chennai,Chennai AP,211.0,2005-10-27T00:00:00,,,,1
4354,Chennai,Chennai AP,149.7,2005-10-28T00:00:00,,,,1
4368,Chennai,Chennai AP,4.9,2005-03-11T00:00:00,,,,0
4371,Chennai,Chennai AP,29.8,2005-04-11T00:00:00,,,,1
4386,Chennai,Chennai AP,23.8,2005-05-11T00:00:00,,,,1
4388,Chennai,Chennai AP,107.0,2005-06-11T00:00:00,,,,1
4402,Chennai,Chennai AP,125.0,2005-07-11T00:00:00,,,,1
4407,Chennai,Chennai AP,24.8,2005-08-11T00:00:00,,,,1
4419,Chennai,Chennai AP,7.8,2005-09-11T00:00:00,,,,0
4427,Chennai,Chennai AP,3.6,2005-10-11T00:00:00,,,,0
4438,Chennai,Chennai AP,14.3,2005-12-11T00:00:00,,,,0
4446,Chennai,Chennai AP,39.0,2005-11-21T00:00:00,,,,1
4453,Chennai,Chennai AP,67.0,2005-11-22T00:00:00,,,,1
4463,Chennai,Chennai AP,43.2,2005-11-23T00:00:00,,,,1
4477,Chennai,Chennai AP,31.4,2005-11-24T00:00:00,,,,1
4483,Chennai,Chennai AP,18.4,2005-11-25T00:00:00,,,,1
4495,Chennai,Chennai AP,40.9,2005-11-26T00:00:00,,,,1
4504,Chennai,Chennai AP,4.9,2005-11-27T00:00:00,,,,0
4507,Chennai,Chennai AP,0.2,2005-11-28T00:00:00,,,,0
4508,Chennai,Chennai AP,5.5,2005-02-12T00:00:00,,,,0
4516,Chennai,Chennai AP,281.3,2005-03-12T00:00:00,,,,1
4526,Chennai,Chennai AP,21.7,2005-04-12T00:00:00,,,,1
4543,Chennai,Chennai AP,5.4,2005-10-12T00:00:00,,,,0
4553,Chennai,Chennai AP,2.4,2005-11-12T00:00:00,,,,0
4563,Chennai,Chennai AP,5.0,2005-12-12T00:00:00,,,,0
4570,Chennai,Chennai AP,26.0,2005-12-13T00:00:00,,,,1
4575,Chennai,Chennai AP,0.4,2005-12-14T00:00:00,,,,0
4577,Chennai,Chennai AP,0.4,2005-12-17T00:00:00,,,,0
4583,Chennai,Chennai AP,56.9,2005-12-18T00:00:00,,,,1
4596,Chennai,Chennai AP,44.3,2005-12-19T00:00:00,,,,1
4603,Chennai,Chennai AP,7.9,2005-12-20T00:00:00,,,,0
4608,Chennai,Chennai AP,1.0,2005-12-21T00:00:00,,,,0
4621,Chennai,Chennai AP,0.6,2006-08-01T00:00:00,,,,0
4623,Chennai,Chennai AP,1.0,2006-01-27T00:00:00,,,,0
4625,Chennai,Chennai AP,21.2,2006-03-03T00:00:00,,,,1
4632,Chennai,Chennai AP,4.6,2006-04-03T00:00:00,,,,0
4637,Chennai,Chennai AP,0.1,2006-11-03T00:00:00,,,,0
4642,Chennai,Chennai AP,0.4,2006-12-03T00:00:00,,,,0
4646,Chennai,Chennai AP,14.2,2006-04-18T00:00:00,,,,0
4655,Chennai,Chennai AP,15.1,2006-05-26T00:00:00,,,,0
4660,Chennai,Chennai AP,0.1,2006-01-06T00:00:00,,,,0
4662,Chennai,Chennai AP,0.4,2006-03-06T00:00:00,,,,0
4663,Chennai,Chennai AP,23.6,2006-04-06T00:00:00,,,,1
4679,Chennai,Chennai AP,0.6,2006-06-06T00:00:00,,,,0
4681,Chennai,Chennai AP,6.0,2006-06-13T00:00:00,,,,0
4685,Chennai,Chennai AP,5.0,2006-06-14T00:00:00,,,,0
4687,Chennai,Chennai AP,0.4,2006-06-20T00:00:00,,,,0
4691,Chennai,Chennai AP,31.9,2006-06-23T00:00:00,,,,1
4700,Chennai,Chennai AP,4.2,2006-06-24T00:00:00,,,,0
4710,Chennai,Chennai AP,4.4,2006-06-27T00:00:00,,,,0
4725,Chennai,Chennai AP,2.6,2006-06-28T00:00:00,,,,0
4727,Chennai,Chennai AP,0.3,2006-06-29T00:00:00,,,,0
4732,Chennai,Chennai AP,0.8,2006-10-07T00:00:00,,,,0
4737,Chennai,Chennai AP,14.1,2006-12-07T00:00:00,,,,0
4744,Chennai,Chennai AP,52.8,2006-07-13T00:00:00,,,,1
4755,Chennai,Chennai AP,6.2,2006-07-15T00:00:00,,,,0
4762,Chennai,Chennai AP,0.5,2006-07-18T00:00:00,,,,0
4764,Chennai,Chennai AP,16.6,2006-07-20T00:00:00,,,,1
4773,Chennai,Chennai AP,22.0,2006-07-21T00:00:00,,,,1
4786,Chennai,Chennai AP,0.5,2006-07-25T00:00:00,,,,0
4787,Chennai,Chennai AP,1.9,2006-07-26T00:00:00,,,,0
4791,Chennai,Chennai AP,4.2,2006-07-27T00:00:00,,,,0
4799,Chennai,Chennai AP,10.0,2006-07-28T00:00:00,,,,0
4815,Chennai,Chennai AP,2.1,2006-01-08T00:00:00,,,,0
