_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
4,Chennai,Chennai nungambakkam,2.0,1993-03-03T00:00:00,,,,0
6,Chennai,Chennai nungambakkam,46.1,1993-05-16T00:00:00,,,,1
10,Chennai,Chennai nungambakkam,11.5,1993-05-27T00:00:00,,,,0
14,Chennai,Chennai nungambakkam,0.5,1993-05-28T00:00:00,,,,0
16,Chennai,Chennai nungambakkam,3.6,1993-04-06T00:00:00,,,,0
20,Chennai,Chennai nungambakkam,31.6,1993-09-06T00:00:00,,,,1
24,Chennai,Chennai nungambakkam,7.6,1993-06-13T00:00:00,,,,0
28,Chennai,Chennai nungambakkam,2.8,1993-06-14T00:00:00,,,,0
34,Chennai,Chennai nungambakkam,3.7,1993-06-15T00:00:00,,,,0
36,Chennai,Chennai nungambakkam,0.1,1993-06-21T00:00:00,,,,0
40,Chennai,Chennai nungambakkam,17.8,1993-02-07T00:00:00,,,,1
44,Chennai,Chennai nungambakkam,0.8,1993-06-07T00:00:00,,,,0
48,Chennai,Chennai nungambakkam,3.3,1993-07-07T00:00:00,,,,0
52,Chennai,Chennai nungambakkam,5.4,1993-08-07T00:00:00,,,,0
54,Chennai,Chennai nungambakkam,0.1,1993-09-07T00:00:00,,,,0
56,Chennai,Chennai nungambakkam,2.3,1993-10-07T00:00:00,,,,0
60,Chennai,Chennai nungambakkam,1.8,1993-07-15T00:00:00,,,,0
62,Chennai,Chennai nungambakkam,0.6,1993-07-16T00:00:00,,,,0
64,Chennai,Chennai nungambakkam,21.4,1993-07-22T00:00:00,,,,1
70,Chennai,Chennai nungambakkam,2.0,1993-07-23T00:00:00,,,,0
72,Chennai,Chennai nungambakkam,7.4,1993-07-24T00:00:00,,,,0
78,Chennai,Chennai nungambakkam,3.3,1993-07-25T00:00:00,,,,0
80,Chennai,Chennai nungambakkam,3.2,1993-07-26T00:00:00,,,,0
84,Chennai,Chennai nungambakkam,0.2,1993-07-27T00:00:00,,,,0
86,Chennai,Chennai nungambakkam,1.7,1993-07-28T00:00:00,,,,0
92,Chennai,Chennai nungambakkam,0.9,1993-07-30T00:00:00,,,,0
94,Chennai,Chennai nungambakkam,1.3,1993-01-08T00:00:00,,,,0
98,Chennai,Chennai nungambakkam,0.5,1993-04-08T00:00:00,,,,0
100,Chennai,Chennai nungambakkam,10.0,1993-06-08T00:00:00,,,,0
104,Chennai,Chennai nungambakkam,3.5,1993-08-08T00:00:00,,,,0
108,Chennai,Chennai nungambakkam,2.4,1993-09-08T00:00:00,,,,0
110,Chennai,Chennai nungambakkam,3.6,1993-11-08T00:00:00,,,,0
114,Chennai,Chennai nungambakkam,3.8,1993-08-13T00:00:00,,,,0
118,Chennai,Chennai nungambakkam,0.9,1993-08-14T00:00:00,,,,0
120,Chennai,Chennai nungambakkam,10.2,1993-08-15T00:00:00,,,,0
124,Chennai,Chennai nungambakkam,7.2,1993-08-16T00:00:00,,,,0
128,Chennai,Chennai nungambakkam,0.6,1993-08-17T00:00:00,,,,0
132,Chennai,Chennai nungambakkam,14.2,1993-08-18T00:00:00,,,,0
138,Chennai,Chennai nungambakkam,26.6,1993-08-23T00:00:00,,,,1
140,Chennai,Chennai nungambakkam,3.7,1993-08-26T00:00:00,,,,0
144,Chennai,Chennai nungambakkam,5.2,1993-08-27T00:00:00,,,,0
150,Chennai,Chennai nungambakkam,18.4,1993-08-30T00:00:00,,,,1
154,Chennai,Chennai nungambakkam,11.6,1993-01-09T00:00:00,,,,0
156,Chennai,Chennai nungambakkam,27.8,1993-04-09T00:00:00,,,,1
160,Chennai,Chennai nungambakkam,1.7,1993-05-09T00:00:00,,,,0
164,Chennai,Chennai nungambakkam,0.5,1993-06-09T00:00:00,,,,0
166,Chennai,Chennai nungambakkam,1.4,1993-12-09T00:00:00,,,,0
168,Chennai,Chennai nungambakkam,3.4,1993-09-15T00:00:00,,,,0
172,Chennai,Chennai nungambakkam,0.2,1993-09-16T00:00:00,,,,0
176,Chennai,Chennai nungambakkam,0.6,1993-09-18T00:00:00,,,,0
180,Chennai,Chennai nungambakkam,4.5,1993-09-20T00:00:00,,,,0
184,Chennai,Chennai nungambakkam,1.2,1993-09-24T00:00:00,,,,0
186,Chennai,Chennai nungambakkam,1.4,1993-02-10T00:00:00,,,,0
188,Chennai,Chennai nungambakkam,24.6,1993-03-10T00:00:00,,,,1
194,Chennai,Chennai nungambakkam,0.3,1993-04-10T00:00:00,,,,0
198,Chennai,Chennai nungambakkam,4.8,1993-07-10T00:00:00,,,,0
202,Chennai,Chennai nungambakkam,20.0,1993-09-10T00:00:00,,,,1
204,Chennai,Chennai nungambakkam,0.3,1993-11-10T00:00:00,,,,0
208,Chennai,Chennai nungambakkam,8.6,1993-12-10T00:00:00,,,,0
210,Chennai,Chennai nungambakkam,4.8,1993-10-13T00:00:00,,,,0
214,Chennai,Chennai nungambakkam,9.8,1993-10-14T00:00:00,,,,0
