_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
1,Chennai,Chennai port trust,10.0,1993-03-03T00:00:00,,,,0
2,Chennai,Chennai port trust,10.0,1993-03-03T00:00:00,,,,0
7,Chennai,Chennai port trust,46.0,1993-05-16T00:00:00,,,,1
8,Chennai,Chennai port trust,46.0,1993-05-16T00:00:00,,,,1
11,Chennai,Chennai port trust,8.0,1993-05-27T00:00:00,,,,0
12,Chennai,Chennai port trust,8.0,1993-05-27T00:00:00,,,,0
17,Chennai,Chennai port trust,2.0,1993-04-06T00:00:00,,,,0
18,Chennai,Chennai port trust,2.0,1993-04-06T00:00:00,,,,0
21,Chennai,Chennai port trust,21.0,1993-09-06T00:00:00,,,,1
22,Chennai,Chennai port trust,21.0,1993-09-06T00:00:00,,,,1
25,Chennai,Chennai port trust,3.1,1993-06-13T00:00:00,,,,0
26,Chennai,Chennai port trust,3.1,1993-06-13T00:00:00,,,,0
29,Chennai,Chennai port trust,1.8,1993-06-14T00:00:00,,,,0
30,Chennai,Chennai port trust,1.8,1993-06-14T00:00:00,,,,0
31,Chennai,Chennai port trust,4.8,1993-06-15T00:00:00,,,,0
32,Chennai,Chennai port trust,4.8,1993-06-15T00:00:00,,,,0
37,Chennai,Chennai port trust,20.2,1993-02-07T00:00:00,,,,1
38,Chennai,Chennai port trust,20.2,1993-02-07T00:00:00,,,,1
41,Chennai,Chennai port trust,1.6,1993-06-07T00:00:00,,,,0
42,Chennai,Chennai port trust,1.6,1993-06-07T00:00:00,,,,0
45,Chennai,Chennai port trust,4.6,1993-07-07T00:00:00,,,,0
46,Chennai,Chennai port trust,4.6,1993-07-07T00:00:00,,,,0
49,Chennai,Chennai port trust,8.8,1993-08-07T00:00:00,,,,0
50,Chennai,Chennai port trust,8.8,1993-08-07T00:00:00,,,,0
57,Chennai,Chennai port trust,2.0,1993-10-07T00:00:00,,,,0
58,Chennai,Chennai port trust,2.0,1993-10-07T00:00:00,,,,0
65,Chennai,Chennai port trust,13.4,1993-07-22T00:00:00,,,,0
66,Chennai,Chennai port trust,13.4,1993-07-22T00:00:00,,,,0
67,Chennai,Chennai port trust,2.2,1993-07-23T00:00:00,,,,0
68,Chennai,Chennai port trust,2.2,1993-07-23T00:00:00,,,,0
73,Chennai,Chennai port trust,5.4,1993-07-24T00:00:00,,,,0
74,Chennai,Chennai port trust,5.4,1993-07-24T00:00:00,,,,0
75,Chennai,Chennai port trust,3.4,1993-07-25T00:00:00,,,,0
76,Chennai,Chennai port trust,3.4,1993-07-25T00:00:00,,,,0
81,Chennai,Chennai port trust,1.0,1993-07-27T00:00:00,,,,0
82,Chennai,Chennai port trust,1.0,1993-07-27T00:00:00,,,,0
87,Chennai,Chennai port trust,0.4,1993-07-28T00:00:00,,,,0
88,Chennai,Chennai port trust,0.4,1993-07-28T00:00:00,,,,0
89,Chennai,Chennai port trust,1.0,1993-07-30T00:00:00,,,,0
90,Chennai,Chennai port trust,1.0,1993-07-30T00:00:00,,,,0
95,Chennai,Chennai port trust,2.0,1993-04-08T00:00:00,,,,0
96,Chennai,Chennai port trust,2.0,1993-04-08T00:00:00,,,,0
101,Chennai,Chennai port trust,1.2,1993-06-08T00:00:00,,,,0
102,Chennai,Chennai port trust,1.2,1993-06-08T00:00:00,,,,0
105,Chennai,Chennai port trust,2.8,1993-09-08T00:00:00,,,,0
106,Chennai,Chennai port trust,2.8,1993-09-08T00:00:00,,,,0
111,Chennai,Chennai port trust,0.4,1993-11-08T00:00:00,,,,0
112,Chennai,Chennai port trust,0.4,1993-11-08T00:00:00,,,,0
115,Chennai,Chennai port trust,1.0,1993-08-13T00:00:00,,,,0
116,Chennai,Chennai port trust,1.0,1993-08-13T00:00:00,,,,0
121,Chennai,Chennai port trust,8.2,1993-08-15T00:00:00,,,,0
122,Chennai,Chennai port trust,8.2,1993-08-15T00:00:00,,,,0
125,Chennai,Chennai port trust,6.0,1993-08-16T00:00:00,,,,0
126,Chennai,Chennai port trust,6.0,1993-08-16T00:00:00,,,,0
129,Chennai,Chennai port trust,0.4,1993-08-17T00:00:00,,,,0
130,Chennai,Chennai port trust,0.4,1993-08-17T00:00:00,,,,0
133,Chennai,Chennai port trust,12.0,1993-08-18T00:00:00,,,,0
134,Chennai,Chennai port trust,12.0,1993-08-18T00:00:00,,,,0
135,Chennai,Chennai port trust,29.6,1993-08-23T00:00:00,,,,1
136,Chennai,Chennai port trust,29.6,1993-08-23T00:00:00,,,,1
141,Chennai,Chennai port trust,2.4,1993-08-26T00:00:00,,,,0
142,Chennai,Chennai port trust,2.4,1993-08-26T00:00:00,,,,0
145,Chennai,Chennai port trust,2.8,1993-08-27T00:00:00,,,,0
146,Chennai,Chennai port trust,2.8,1993-08-27T00:00:00,,,,0
147,Chennai,Chennai port trust,23.4,1993-08-30T00:00:00,,,,1
148,Chennai,Chennai port trust,23.4,1993-08-30T00:00:00,,,,1
151,Chennai,Chennai port trust,22.4,1993-01-09T00:00:00,,,,1
152,Chennai,Chennai port trust,22.4,1993-01-09T00:00:00,,,,1
157,Chennai,Chennai port trust,15.6,1993-04-09T00:00:00,,,,0
158,Chennai,Chennai port trust,15.6,1993-04-09T00:00:00,,,,0
161,Chennai,Chennai port trust,1.0,1993-06-09T00:00:00,,,,0
162,Chennai,Chennai port trust,1.0,1993-06-09T00:00:00,,,,0
169,Chennai,Chennai port trust,0.6,1993-09-16T00:00:00,,,,0
170,Chennai,Chennai port trust,0.6,1993-09-16T00:00:00,,,,0
173,Chennai,Chennai port trust,2.0,1993-09-18T00:00:00,,,,0
174,Chennai,Chennai port trust,2.0,1993-09-18T00:00:00,,,,0
177,Chennai,Chennai port trust,13.6,1993-09-20T00:00:00,,,,0
178,Chennai,Chennai port trust,13.6,1993-09-20T00:00:00,,,,0
181,Chennai,Chennai port trust,2.0,1993-09-24T00:00:00,,,,0
182,Chennai,Chennai port trust,2.0,1993-09-24T00:00:00,,,,0
189,Chennai,Chennai port trust,14.8,1993-03-10T00:00:00,,,,0
190,Chennai,Chennai port trust,14.8,1993-03-10T00:00:00,,,,0
191,Chennai,Chennai port trust,2.0,1993-04-10T00:00:00,,,,0
192,Chennai,Chennai port trust,2.0,1993-04-10T00:00:00,,,,0
195,Chennai,Chennai port trust,7.4,1993-07-10T00:00:00,,,,0
196,Chennai,Chennai port trust,7.4,1993-07-10T00:00:00,,,,0
199,Chennai,Chennai port trust,21.2,1993-09-10T00:00:00,,,,1
200,Chennai,Chennai port trust,21.2,1993-09-10T00:00:00,,,,1
205,Chennai,Chennai port trust,16.4,1993-12-10T00:00:00,,,,0
206,Chennai,Chennai port trust,16.4,1993-12-10T00:00:00,,,,0
211,Chennai,Chennai port trust,2.8,1993-10-13T00:00:00,,,,0
212,Chennai,Chennai port trust,2.8,1993-10-13T00:00:00,,,,0
215,Chennai,Chennai port trust,3.4,1993-10-14T00:00:00,,,,0
216,Chennai,Chennai port trust,3.4,1993-10-14T00:00:00,,,,0
217,Chennai,Chennai port trust,65.7,1993-10-15T00:00:00,,,,1
218,Chennai,Chennai port trust,65.7,1993-10-15T00:00:00,,,,1
221,Chennai,Chennai port trust,8.6,1993-10-16T00:00:00,,,,0
222,Chennai,Chennai port trust,8.6,1993-10-16T00:00:00,,,,0
231,Chennai,Chennai port trust,23.2,1993-10-19T00:00:00,,,,1
232,Chennai,Chennai port trust,23.2,1993-10-19T00:00:00,,,,1
233,Chennai,Chennai port trust,35.8,1993-10-20T00:00:00,,,,1
234,Chennai,Chennai port trust,35.8,1993-10-20T00:00:00,,,,1
239,Chennai,Chennai port trust,22.2,1993-10-22T00:00:00,,,,1
240,Chennai,Chennai port trust,22.2,1993-10-22T00:00:00,,,,1
245,Chennai,Chennai port trust,7.5,1993-10-30T00:00:00,,,,0
246,Chennai,Chennai port trust,7.5,1993-10-30T00:00:00,,,,0
251,Chennai,Chennai port trust,10.2,1993-10-31T00:00:00,,,,0
252,Chennai,Chennai port trust,10.2,1993-10-31T00:00:00,,,,0
253,Chennai,Chennai port trust,8.4,1993-01-11T00:00:00,,,,0
254,Chennai,Chennai port trust,8.4,1993-01-11T00:00:00,,,,0
259,Chennai,Chennai port trust,19.0,1993-02-11T00:00:00,,,,1
260,Chennai,Chennai port trust,19.0,1993-02-11T00:00:00,,,,1
263,Chennai,Chennai port trust,17.2,1993-03-11T00:00:00,,,,0
264,Chennai,Chennai port trust,17.2,1993-03-11T00:00:00,,,,0
267,Chennai,Chennai port trust,5.0,1993-04-11T00:00:00,,,,0
268,Chennai,Chennai port trust,5.0,1993-04-11T00:00:00,,,,0
271,Chennai,Chennai port trust,5.2,1993-05-11T00:00:00,,,,0
272,Chennai,Chennai port trust,5.2,1993-05-11T00:00:00,,,,0
273,Chennai,Chennai port trust,9.0,1993-06-11T00:00:00,,,,0
274,Chennai,Chennai port trust,9.0,1993-06-11T00:00:00,,,,0
277,Chennai,Chennai port trust,10.2,1993-07-11T00:00:00,,,,0
278,Chennai,Chennai port trust,10.2,1993-07-11T00:00:00,,,,0
281,Chennai,Chennai port trust,12.4,1993-08-11T00:00:00,,,,0
282,Chennai,Chennai port trust,12.4,1993-08-11T00:00:00,,,,0
285,Chennai,Chennai port trust,6.0,1993-09-11T00:00:00,,,,0
286,Chennai,Chennai port trust,6.0,1993-09-11T00:00:00,,,,0
289,Chennai,Chennai port trust,50.7,1993-10-11T00:00:00,,,,1
290,Chennai,Chennai port trust,50.7,1993-10-11T00:00:00,,,,1
293,Chennai,Chennai port trust,20.5,1993-11-11T00:00:00,,,,1
294,Chennai,Chennai port trust,20.5,1993-11-11T00:00:00,,,,1
297,Chennai,Chennai port trust,13.0,1993-11-13T00:00:00,,,,0
298,Chennai,Chennai port trust,13.0,1993-11-13T00:00:00,,,,0
301,Chennai,Chennai port trust,1.6,1993-11-15T00:00:00,,,,0
302,Chennai,Chennai port trust,1.6,1993-11-15T00:00:00,,,,0
305,Chennai,Chennai port trust,50.2,1993-11-16T00:00:00,,,,1
306,Chennai,Chennai port trust,50.2,1993-11-16T00:00:00,,,,1
315,Chennai,Chennai port trust,50.6,1993-11-24T00:00:00,,,,1
316,Chennai,Chennai port trust,50.6,1993-11-24T00:00:00,,,,1
317,Chennai,Chennai port trust,8.4,1993-11-25T00:00:00,,,,0
318,Chennai,Chennai port trust,8.4,1993-11-25T00:00:00,,,,0
321,Chennai,Chennai port trust,65.2,1993-01-12T00:00:00,,,,1
322,Chennai,Chennai port trust,65.2,1993-01-12T00:00:00,,,,1
325,Chennai,Chennai port trust,33.2,1993-02-12T00:00:00,,,,1
326,Chennai,Chennai port trust,33.2,1993-02-12T00:00:00,,,,1
329,Chennai,Chennai port trust,76.6,1993-04-12T00:00:00,,,,1
330,Chennai,Chennai port trust,76.6,1993-04-12T00:00:00,,,,1
335,Chennai,Chennai port trust,14.0,1993-05-12T00:00:00,,,,0
336,Chennai,Chennai port trust,14.0,1993-05-12T00:00:00,,,,0
