_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
1962,Chennai,DGP Office,8.6,1998-11-17T00:00:00,,,,0
3560,Chennai,DGP Office,45.6,2004-09-30T00:00:00,,,,1
3572,Chennai,DGP Office,24.2,2004-02-10T00:00:00,,,,1
3590,Chennai,DGP Office,5.6,2004-10-14T00:00:00,,,,0
3595,Chennai,DGP Office,45.0,2004-10-15T00:00:00,,,,1
3602,Chennai,DGP Office,9.6,2004-10-17T00:00:00,,,,0
3613,Chennai,DGP Office,14.8,2004-10-18T00:00:00,,,,0
3628,Chennai,DGP Office,20.4,2004-10-19T00:00:00,,,,0
3635,Chennai,DGP Office,3.6,2004-10-20T00:00:00,,,,0
3659,Chennai,DGP Office,8.6,2004-10-23T00:00:00,,,,0
3672,Chennai,DGP Office,25.8,2004-10-24T00:00:00,,,,1
3679,Chennai,DGP Office,8.8,2004-10-25T00:00:00,,,,0
3687,Chennai,DGP Office,4.6,2004-10-26T00:00:00,,,,0
3708,Chennai,DGP Office,4.3,2004-10-27T00:00:00,,,,0
3719,Chennai,DGP Office,2.4,2004-10-28T00:00:00,,,,0
3721,Chennai,DGP Office,97.2,2004-10-29T00:00:00,,,,1
3731,Chennai,DGP Office,67.2,2004-10-30T00:00:00,,,,1
3746,Chennai,DGP Office,12.6,2004-10-31T00:00:00,,,,0
3763,Chennai,DGP Office,0.2,2004-01-11T00:00:00,,,,0
3766,Chennai,DGP Office,2.4,2004-02-11T00:00:00,,,,0
3789,Chennai,DGP Office,0.4,2004-05-11T00:00:00,,,,0
3799,Chennai,DGP Office,70.6,2004-06-11T00:00:00,,,,1
3808,Chennai,DGP Office,60.0,2004-07-11T00:00:00,,,,1
3822,Chennai,DGP Office,5.8,2004-08-11T00:00:00,,,,0
3830,Chennai,DGP Office,0.2,2004-09-11T00:00:00,,,,0
3840,Chennai,DGP Office,0.3,2004-10-11T00:00:00,,,,0
3858,Chennai,DGP Office,4.4,2004-12-11T00:00:00,,,,0
3861,Chennai,DGP Office,85.8,2004-11-13T00:00:00,,,,1
3887,Chennai,DGP Office,3.8,2004-11-27T00:00:00,,,,0
3898,Chennai,DGP Office,0.2,2004-08-12T00:00:00,,,,0
3904,Chennai,DGP Office,2.5,2004-09-12T00:00:00,,,,0
3912,Chennai,DGP Office,2.0,2004-12-13T00:00:00,,,,0
3923,Chennai,DGP Office,0.1,2004-12-14T00:00:00,,,,0
3939,Chennai,DGP Office,0.3,2005-03-04T00:00:00,,,,0
3946,Chennai,DGP Office,0.1,2005-04-04T00:00:00,,,,0
3949,Chennai,DGP Office,38.4,2005-05-04T00:00:00,,,,1
3962,Chennai,DGP Office,58.0,2005-06-04T00:00:00,,,,1
3973,Chennai,DGP Office,2.0,2005-11-04T00:00:00,,,,0
3982,Chennai,DGP Office,35.2,2005-02-05T00:00:00,,,,1
4003,Chennai,DGP Office,3.2,2005-09-06T00:00:00,,,,0
4020,Chennai,DGP Office,6.0,2005-06-07T00:00:00,,,,0
