_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
1959,Chennai,Gov hr sec school MGR Nagar,14.0,1998-11-17T00:00:00,,,,0
10841,Chennai,Gov hr sec school MGR Nagar,1.2,2017-10-26T00:00:00,,,,0
10844,Chennai,Gov hr sec school MGR Nagar,4.0,2017-10-27T00:00:00,,,,0
10852,Chennai,Gov hr sec school MGR Nagar,1.2,2017-10-28T00:00:00,,,,0
10860,Chennai,Gov hr sec school MGR Nagar,3.6,2017-10-29T00:00:00,,,,0
10864,Chennai,Gov hr sec school MGR Nagar,18.2,2017-10-30T00:00:00,,,,0
10882,Chennai,Gov hr sec school MGR Nagar,103.4,2017-10-31T00:00:00,,,,1
10884,Chennai,Gov hr sec school MGR Nagar,66.2,2017-01-11T00:00:00,,,,1
10899,Chennai,Gov hr sec school MGR Nagar,34.7,2017-02-11T00:00:00,,,,1
10903,Chennai,Gov hr sec school MGR Nagar,311.8,2017-03-11T00:00:00,,,,1
10913,Chennai,Gov hr sec school MGR Nagar,70.5,2017-04-11T00:00:00,,,,1
10930,Chennai,Gov hr sec school MGR Nagar,11.3,2017-05-11T00:00:00,,,,0
10940,Chennai,Gov hr sec school MGR Nagar,11.3,2017-06-11T00:00:00,,,,0
10949,Chennai,Gov hr sec school MGR Nagar,18.0,2017-07-11T00:00:00,,,,0
10962,Chennai,Gov hr sec school MGR Nagar,16.4,2017-08-11T00:00:00,,,,0
10977,Chennai,Gov hr sec school MGR Nagar,3.0,2017-12-11T00:00:00,,,,0
10986,Chennai,Gov hr sec school MGR Nagar,52.4,2017-11-13T00:00:00,,,,1
11001,Chennai,Gov hr sec school MGR Nagar,23.1,2017-11-14T00:00:00,,,,1
11012,Chennai,Gov hr sec school MGR Nagar,6.2,2017-11-15T00:00:00,,,,0
11036,Chennai,Gov hr sec school MGR Nagar,70.1,2017-11-27T00:00:00,,,,1
11056,Chennai,Gov hr sec school MGR Nagar,25.4,2017-11-30T00:00:00,,,,1
11066,Chennai,Gov hr sec school MGR Nagar,64.2,2017-01-12T00:00:00,,,,1
11085,Chennai,Gov hr sec school MGR Nagar,1.1,2017-12-23T00:00:00,,,,0
11094,Chennai,Gov hr sec school MGR Nagar,0.4,2018-11-01T00:00:00,,,,0
11103,Chennai,Gov hr sec school MGR Nagar,0.3,2018-03-17T00:00:00,,,,0
11119,Chennai,Gov hr sec school MGR Nagar,5.0,2018-07-06T00:00:00,,,,0
11127,Chennai,Gov hr sec school MGR Nagar,7.0,2018-06-16T00:00:00,,,,0
11143,Chennai,Gov hr sec school MGR Nagar,71.0,2018-03-07T00:00:00,,,,1
11159,Chennai,Gov hr sec school MGR Nagar,4.6,2018-10-07T00:00:00,,,,0
11165,Chennai,Gov hr sec school MGR Nagar,5.2,2018-11-07T00:00:00,,,,0
11175,Chennai,Gov hr sec school MGR Nagar,29.4,2018-12-07T00:00:00,,,,1
11195,Chennai,Gov hr sec school MGR Nagar,1.6,2018-07-13T00:00:00,,,,0
11216,Chennai,Gov hr sec school MGR Nagar,5.9,2018-07-27T00:00:00,,,,0
11234,Chennai,Gov hr sec school MGR Nagar,6.8,2018-01-08T00:00:00,,,,0
11247,Chennai,Gov hr sec school MGR Nagar,1.0,2018-03-08T00:00:00,,,,0
11260,Chennai,Gov hr sec school MGR Nagar,11.4,2018-05-08T00:00:00,,,,0
11280,Chennai,Gov hr sec school MGR Nagar,5.8,2018-09-08T00:00:00,,,,0
11290,Chennai,Gov hr sec school MGR Nagar,7.4,2018-10-08T00:00:00,,,,0
11300,Chennai,Gov hr sec school MGR Nagar,5.2,2018-11-08T00:00:00,,,,0
11310,Chennai,Gov hr sec school MGR Nagar,4.7,2018-12-08T00:00:00,,,,0
11318,Chennai,Gov hr sec school MGR Nagar,1.4,2018-08-14T00:00:00,,,,0
11329,Chennai,Gov hr sec school MGR Nagar,47.0,2018-08-15T00:00:00,,,,1
11348,Chennai,Gov hr sec school MGR Nagar,2.4,2018-08-17T00:00:00,,,,0
11358,Chennai,Gov hr sec school MGR Nagar,0.2,2018-08-25T00:00:00,,,,0
11371,Chennai,Gov hr sec school MGR Nagar,8.8,2018-08-28T00:00:00,,,,0
11386,Chennai,Gov hr sec school MGR Nagar,17.2,2018-08-31T00:00:00,,,,0
11402,Chennai,Gov hr sec school MGR Nagar,1.2,2018-09-14T00:00:00,,,,0
11405,Chennai,Gov hr sec school MGR Nagar,2.4,2018-09-16T00:00:00,,,,0
11412,Chennai,Gov hr sec school MGR Nagar,32.4,2018-09-17T00:00:00,,,,1
11424,Chennai,Gov hr sec school MGR Nagar,14.0,2018-09-18T00:00:00,,,,0
11434,Chennai,Gov hr sec school MGR Nagar,24.6,2018-09-19T00:00:00,,,,1
11451,Chennai,Gov hr sec school MGR Nagar,9.2,2018-01-10T00:00:00,,,,0
11461,Chennai,Gov hr sec school MGR Nagar,3.8,2018-03-10T00:00:00,,,,0
11470,Chennai,Gov hr sec school MGR Nagar,4.2,2018-04-10T00:00:00,,,,0
11482,Chennai,Gov hr sec school MGR Nagar,43.8,2018-05-10T00:00:00,,,,1
11494,Chennai,Gov hr sec school MGR Nagar,17.4,2018-06-10T00:00:00,,,,0
11507,Chennai,Gov hr sec school MGR Nagar,1.2,2018-07-10T00:00:00,,,,0
11515,Chennai,Gov hr sec school MGR Nagar,0.1,2018-10-17T00:00:00,,,,0
11516,Chennai,Gov hr sec school MGR Nagar,66.8,2018-10-18T00:00:00,,,,1
11533,Chennai,Gov hr sec school MGR Nagar,4.2,2018-10-21T00:00:00,,,,0
11549,Chennai,Gov hr sec school MGR Nagar,8.4,2018-10-31T00:00:00,,,,0
11557,Chennai,Gov hr sec school MGR Nagar,41.8,2018-01-11T00:00:00,,,,1
