_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
3576,Chennai,Govt. arts college,8.5,2004-02-10T00:00:00,,,,0
3618,Chennai,Govt. arts college,0.1,2004-10-18T00:00:00,,,,0
3626,Chennai,Govt. arts college,22.0,2004-10-19T00:00:00,,,,1
3634,Chennai,Govt. arts college,4.0,2004-10-20T00:00:00,,,,0
3648,Chennai,Govt. arts college,2.0,2004-10-21T00:00:00,,,,0
3657,Chennai,Govt. arts college,10.0,2004-10-23T00:00:00,,,,0
3665,Chennai,Govt. arts college,57.0,2004-10-24T00:00:00,,,,1
3682,Chennai,Govt. arts college,2.0,2004-10-25T00:00:00,,,,0
3691,Chennai,Govt. arts college,2.0,2004-10-26T00:00:00,,,,0
3698,Chennai,Govt. arts college,10.0,2004-10-27T00:00:00,,,,0
3715,Chennai,Govt. arts college,8.0,2004-10-28T00:00:00,,,,0
3725,Chennai,Govt. arts college,62.0,2004-10-29T00:00:00,,,,1
3740,Chennai,Govt. arts college,39.0,2004-10-30T00:00:00,,,,1
3750,Chennai,Govt. arts college,12.0,2004-10-31T00:00:00,,,,0
3761,Chennai,Govt. arts college,1.0,2004-01-11T00:00:00,,,,0
3791,Chennai,Govt. arts college,104.0,2004-06-11T00:00:00,,,,1
3801,Chennai,Govt. arts college,73.0,2004-07-11T00:00:00,,,,1
3812,Chennai,Govt. arts college,19.0,2004-08-11T00:00:00,,,,1
3825,Chennai,Govt. arts college,2.0,2004-09-11T00:00:00,,,,0
3836,Chennai,Govt. arts college,7.6,2004-10-11T00:00:00,,,,0
3841,Chennai,Govt. arts college,2.2,2004-11-11T00:00:00,,,,0
3850,Chennai,Govt. arts college,14.0,2004-12-11T00:00:00,,,,0
3869,Chennai,Govt. arts college,40.2,2004-11-13T00:00:00,,,,1
3874,Chennai,Govt. arts college,18.4,2004-11-26T00:00:00,,,,1
3883,Chennai,Govt. arts college,14.6,2004-11-27T00:00:00,,,,0
3907,Chennai,Govt. arts college,2.0,2004-09-12T00:00:00,,,,0
3954,Chennai,Govt. arts college,12.0,2005-05-04T00:00:00,,,,0
3964,Chennai,Govt. arts college,42.0,2005-06-04T00:00:00,,,,1
3969,Chennai,Govt. arts college,1.0,2005-07-04T00:00:00,,,,0
3989,Chennai,Govt. arts college,21.0,2005-02-05T00:00:00,,,,1
3999,Chennai,Govt. arts college,14.0,2005-09-06T00:00:00,,,,0
4045,Chennai,Govt. arts college,45.0,2005-07-21T00:00:00,,,,1
4053,Chennai,Govt. arts college,12.0,2005-07-23T00:00:00,,,,0
4067,Chennai,Govt. arts college,22.0,2005-07-24T00:00:00,,,,1
4084,Chennai,Govt. arts college,1.3,2005-07-29T00:00:00,,,,0
4111,Chennai,Govt. arts college,18.0,2005-08-15T00:00:00,,,,1
4120,Chennai,Govt. arts college,10.0,2005-08-16T00:00:00,,,,0
4145,Chennai,Govt. arts college,4.0,2005-01-09T00:00:00,,,,0
4162,Chennai,Govt. arts college,1.5,2005-08-09T00:00:00,,,,0
4166,Chennai,Govt. arts college,27.0,2005-09-09T00:00:00,,,,1
4176,Chennai,Govt. arts college,27.0,2005-10-09T00:00:00,,,,1
4189,Chennai,Govt. arts college,15.0,2005-11-09T00:00:00,,,,0
4202,Chennai,Govt. arts college,14.0,2005-09-25T00:00:00,,,,0
4211,Chennai,Govt. arts college,3.0,2005-09-30T00:00:00,,,,0
4224,Chennai,Govt. arts college,35.0,2005-10-10T00:00:00,,,,1
4234,Chennai,Govt. arts college,7.0,2005-11-10T00:00:00,,,,0
4249,Chennai,Govt. arts college,11.0,2005-12-10T00:00:00,,,,0
4258,Chennai,Govt. arts college,48.0,2005-10-13T00:00:00,,,,1
4267,Chennai,Govt. arts college,14.0,2005-10-14T00:00:00,,,,0
4270,Chennai,Govt. arts college,3.0,2005-10-16T00:00:00,,,,0
4280,Chennai,Govt. arts college,28.0,2005-10-19T00:00:00,,,,1
4290,Chennai,Govt. arts college,16.0,2005-10-20T00:00:00,,,,0
4298,Chennai,Govt. arts college,1.7,2005-10-21T00:00:00,,,,0
4305,Chennai,Govt. arts college,18.0,2005-10-23T00:00:00,,,,1
4312,Chennai,Govt. arts college,49.0,2005-10-24T00:00:00,,,,1
4322,Chennai,Govt. arts college,98.0,2005-10-25T00:00:00,,,,1
4331,Chennai,Govt. arts college,28.0,2005-10-26T00:00:00,,,,1
4339,Chennai,Govt. arts college,285.0,2005-10-27T00:00:00,,,,1
4352,Chennai,Govt. arts college,165.0,2005-10-28T00:00:00,,,,1
4358,Chennai,Govt. arts college,26.0,2005-10-31T00:00:00,,,,1
4378,Chennai,Govt. arts college,3.5,2005-04-11T00:00:00,,,,0
4385,Chennai,Govt. arts college,25.0,2005-05-11T00:00:00,,,,1
4396,Chennai,Govt. arts college,42.0,2005-06-11T00:00:00,,,,1
4403,Chennai,Govt. arts college,108.0,2005-07-11T00:00:00,,,,1
4413,Chennai,Govt. arts college,4.2,2005-08-11T00:00:00,,,,0
4418,Chennai,Govt. arts college,8.0,2005-09-11T00:00:00,,,,0
4424,Chennai,Govt. arts college,5.0,2005-10-11T00:00:00,,,,0
4433,Chennai,Govt. arts college,1.0,2005-11-11T00:00:00,,,,0
4435,Chennai,Govt. arts college,20.0,2005-12-11T00:00:00,,,,1
4450,Chennai,Govt. arts college,25.0,2005-11-21T00:00:00,,,,1
4460,Chennai,Govt. arts college,20.0,2005-11-22T00:00:00,,,,1
4470,Chennai,Govt. arts college,20.0,2005-11-23T00:00:00,,,,1
4478,Chennai,Govt. arts college,15.0,2005-11-24T00:00:00,,,,0
4487,Chennai,Govt. arts college,8.0,2005-11-25T00:00:00,,,,0
4496,Chennai,Govt. arts college,35.0,2005-11-26T00:00:00,,,,1
4506,Chennai,Govt. arts college,1.0,2005-11-27T00:00:00,,,,0
4514,Chennai,Govt. arts college,1.0,2005-02-12T00:00:00,,,,0
4522,Chennai,Govt. arts college,190.0,2005-03-12T00:00:00,,,,1
4531,Chennai,Govt. arts college,16.0,2005-04-12T00:00:00,,,,0
4536,Chennai,Govt. arts college,2.0,2005-05-12T00:00:00,,,,0
4542,Chennai,Govt. arts college,8.0,2005-10-12T00:00:00,,,,0
4549,Chennai,Govt. arts college,7.0,2005-11-12T00:00:00,,,,0
4556,Chennai,Govt. arts college,22.0,2005-12-12T00:00:00,,,,1
4572,Chennai,Govt. arts college,11.0,2005-12-13T00:00:00,,,,0
4584,Chennai,Govt. arts college,45.0,2005-12-18T00:00:00,,,,1
4588,Chennai,Govt. arts college,88.0,2005-12-19T00:00:00,,,,1
4599,Chennai,Govt. arts college,11.0,2005-12-20T00:00:00,,,,0
4630,Chennai,Govt. arts college,10.0,2006-04-03T00:00:00,,,,0
