_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
3,Chennai,Sholinganallur,2.0,1993-03-03T00:00:00,,,,0
5,Chennai,Sholinganallur,46.1,1993-05-16T00:00:00,,,,1
9,Chennai,Sholinganallur,11.5,1993-05-27T00:00:00,,,,0
13,Chennai,Sholinganallur,0.5,1993-05-28T00:00:00,,,,0
15,Chennai,Sholinganallur,3.6,1993-04-06T00:00:00,,,,0
19,Chennai,Sholinganallur,31.6,1993-09-06T00:00:00,,,,1
23,Chennai,Sholinganallur,7.6,1993-06-13T00:00:00,,,,0
27,Chennai,Sholinganallur,2.8,1993-06-14T00:00:00,,,,0
33,Chennai,Sholinganallur,3.7,1993-06-15T00:00:00,,,,0
35,Chennai,Sholinganallur,0.1,1993-06-21T00:00:00,,,,0
39,Chennai,Sholinganallur,17.8,1993-02-07T00:00:00,,,,1
43,Chennai,Sholinganallur,0.8,1993-06-07T00:00:00,,,,0
47,Chennai,Sholinganallur,3.3,1993-07-07T00:00:00,,,,0
51,Chennai,Sholinganallur,5.4,1993-08-07T00:00:00,,,,0
53,Chennai,Sholinganallur,0.1,1993-09-07T00:00:00,,,,0
55,Chennai,Sholinganallur,2.3,1993-10-07T00:00:00,,,,0
59,Chennai,Sholinganallur,1.8,1993-07-15T00:00:00,,,,0
61,Chennai,Sholinganallur,0.6,1993-07-16T00:00:00,,,,0
63,Chennai,Sholinganallur,21.4,1993-07-22T00:00:00,,,,1
69,Chennai,Sholinganallur,2.0,1993-07-23T00:00:00,,,,0
71,Chennai,Sholinganallur,7.4,1993-07-24T00:00:00,,,,0
77,Chennai,Sholinganallur,3.3,1993-07-25T00:00:00,,,,0
79,Chennai,Sholinganallur,3.2,1993-07-26T00:00:00,,,,0
83,Chennai,Sholinganallur,0.2,1993-07-27T00:00:00,,,,0
85,Chennai,Sholinganallur,1.7,1993-07-28T00:00:00,,,,0
91,Chennai,Sholinganallur,0.9,1993-07-30T00:00:00,,,,0
93,Chennai,Sholinganallur,1.3,1993-01-08T00:00:00,,,,0
97,Chennai,Sholinganallur,0.5,1993-04-08T00:00:00,,,,0
99,Chennai,Sholinganallur,10.0,1993-06-08T00:00:00,,,,0
103,Chennai,Sholinganallur,3.5,1993-08-08T00:00:00,,,,0
107,Chennai,Sholinganallur,2.4,1993-09-08T00:00:00,,,,0
109,Chennai,Sholinganallur,3.6,1993-11-08T00:00:00,,,,0
113,Chennai,Sholinganallur,3.8,1993-08-13T00:00:00,,,,0
117,Chennai,Sholinganallur,0.9,1993-08-14T00:00:00,,,,0
119,Chennai,Sholinganallur,10.2,1993-08-15T00:00:00,,,,0
123,Chennai,Sholinganallur,7.2,1993-08-16T00:00:00,,,,0
127,Chennai,Sholinganallur,0.6,1993-08-17T00:00:00,,,,0
131,Chennai,Sholinganallur,14.2,1993-08-18T00:00:00,,,,0
137,Chennai,Sholinganallur,26.6,1993-08-23T00:00:00,,,,1
139,Chennai,Sholinganallur,3.7,1993-08-26T00:00:00,,,,0
143,Chennai,Sholinganallur,5.2,1993-08-27T00:00:00,,,,0
149,Chennai,Sholinganallur,18.4,1993-08-30T00:00:00,,,,1
153,Chennai,Sholinganallur,11.6,1993-01-09T00:00:00,,,,0
155,Chennai,Sholinganallur,27.8,1993-04-09T00:00:00,,,,1
159,Chennai,Sholinganallur,1.7,1993-05-09T00:00:00,,,,0
163,Chennai,Sholinganallur,0.5,1993-06-09T00:00:00,,,,0
165,Chennai,Sholinganallur,1.4,1993-12-09T00:00:00,,,,0
167,Chennai,Sholinganallur,3.4,1993-09-15T00:00:00,,,,0
171,Chennai,Sholinganallur,0.2,1993-09-16T00:00:00,,,,0
175,Chennai,Sholinganallur,0.6,1993-09-18T00:00:00,,,,0
179,Chennai,Sholinganallur,4.5,1993-09-20T00:00:00,,,,0
183,Chennai,Sholinganallur,1.2,1993-09-24T00:00:00,,,,0
185,Chennai,Sholinganallur,1.4,1993-02-10T00:00:00,,,,0
187,Chennai,Sholinganallur,24.6,1993-03-10T00:00:00,,,,1
193,Chennai,Sholinganallur,0.3,1993-04-10T00:00:00,,,,0
197,Chennai,Sholinganallur,4.8,1993-07-10T00:00:00,,,,0
201,Chennai,Sholinganallur,20.0,1993-09-10T00:00:00,,,,1
203,Chennai,Sholinganallur,0.3,1993-11-10T00:00:00,,,,0
207,Chennai,Sholinganallur,8.6,1993-12-10T00:00:00,,,,0
209,Chennai,Sholinganallur,4.8,1993-10-13T00:00:00,,,,0
213,Chennai,Sholinganallur,9.8,1993-10-14T00:00:00,,,,0
219,Chennai,Sholinganallur,55.9,1993-10-15T00:00:00,,,,1
223,Chennai,Sholinganallur,4.8,1993-10-16T00:00:00,,,,0
225,Chennai,Sholinganallur,1.6,1993-10-17T00:00:00,,,,0
227,Chennai,Sholinganallur,2.7,1993-10-18T00:00:00,,,,0
229,Chennai,Sholinganallur,41.4,1993-10-19T00:00:00,,,,1
235,Chennai,Sholinganallur,27.8,1993-10-20T00:00:00,,,,1
