_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
1958,Chennai,Ambathur,20.0,1998-11-17T00:00:00,,,,0
3565,Chennai,Ambathur,8.0,2004-01-10T00:00:00,,,,0
3581,Chennai,Ambathur,4.0,2004-03-10T00:00:00,,,,0
3582,Chennai,Ambathur,3.0,2004-04-10T00:00:00,,,,0
3583,Chennai,Ambathur,11.0,2004-10-10T00:00:00,,,,0
3587,Chennai,Ambathur,2.0,2004-10-13T00:00:00,,,,0
3594,Chennai,Ambathur,3.0,2004-10-14T00:00:00,,,,0
3601,Chennai,Ambathur,15.0,2004-10-17T00:00:00,,,,0
3609,Chennai,Ambathur,32.0,2004-10-18T00:00:00,,,,1
3621,Chennai,Ambathur,24.0,2004-10-19T00:00:00,,,,1
3639,Chennai,Ambathur,3.0,2004-10-20T00:00:00,,,,0
3641,Chennai,Ambathur,5.0,2004-10-21T00:00:00,,,,0
3652,Chennai,Ambathur,3.0,2004-10-22T00:00:00,,,,0
3654,Chennai,Ambathur,13.0,2004-10-23T00:00:00,,,,0
3673,Chennai,Ambathur,25.0,2004-10-24T00:00:00,,,,1
3681,Chennai,Ambathur,2.0,2004-10-25T00:00:00,,,,0
3695,Chennai,Ambathur,1.0,2004-10-26T00:00:00,,,,0
3700,Chennai,Ambathur,9.0,2004-10-27T00:00:00,,,,0
3716,Chennai,Ambathur,6.0,2004-10-28T00:00:00,,,,0
3730,Chennai,Ambathur,21.0,2004-10-29T00:00:00,,,,0
3732,Chennai,Ambathur,67.0,2004-10-30T00:00:00,,,,1
3743,Chennai,Ambathur,17.0,2004-10-31T00:00:00,,,,0
3754,Chennai,Ambathur,5.0,2004-01-11T00:00:00,,,,0
3767,Chennai,Ambathur,1.0,2004-02-11T00:00:00,,,,0
3774,Chennai,Ambathur,2.0,2004-03-11T00:00:00,,,,0
3790,Chennai,Ambathur,129.0,2004-06-11T00:00:00,,,,1
3806,Chennai,Ambathur,62.0,2004-07-11T00:00:00,,,,1
3815,Chennai,Ambathur,12.0,2004-08-11T00:00:00,,,,0
3823,Chennai,Ambathur,7.0,2004-09-11T00:00:00,,,,0
3859,Chennai,Ambathur,1.0,2004-12-11T00:00:00,,,,0
3867,Chennai,Ambathur,69.0,2004-11-13T00:00:00,,,,1
3878,Chennai,Ambathur,3.0,2004-11-26T00:00:00,,,,0
3882,Chennai,Ambathur,32.0,2004-11-27T00:00:00,,,,1
3905,Chennai,Ambathur,2.0,2004-09-12T00:00:00,,,,0
3956,Chennai,Ambathur,1.0,2005-05-04T00:00:00,,,,0
3958,Chennai,Ambathur,77.0,2005-06-04T00:00:00,,,,1
3975,Chennai,Ambathur,12.5,2005-12-04T00:00:00,,,,0
3990,Chennai,Ambathur,8.0,2005-02-05T00:00:00,,,,0
3992,Chennai,Ambathur,14.0,2005-04-05T00:00:00,,,,0
3994,Chennai,Ambathur,4.0,2005-05-05T00:00:00,,,,0
3996,Chennai,Ambathur,32.0,2005-09-06T00:00:00,,,,1
4006,Chennai,Ambathur,3.0,2005-06-21T00:00:00,,,,0
4015,Chennai,Ambathur,1.0,2005-06-25T00:00:00,,,,0
4019,Chennai,Ambathur,7.0,2005-06-07T00:00:00,,,,0
4039,Chennai,Ambathur,4.0,2005-07-20T00:00:00,,,,0
4048,Chennai,Ambathur,16.0,2005-07-21T00:00:00,,,,0
4049,Chennai,Ambathur,7.0,2005-07-22T00:00:00,,,,0
4050,Chennai,Ambathur,29.0,2005-07-23T00:00:00,,,,1
4066,Chennai,Ambathur,23.0,2005-07-24T00:00:00,,,,1
4077,Chennai,Ambathur,1.0,2005-07-27T00:00:00,,,,0
4095,Chennai,Ambathur,2.0,2005-09-08T00:00:00,,,,0
4102,Chennai,Ambathur,8.0,2005-08-14T00:00:00,,,,0
4103,Chennai,Ambathur,35.0,2005-08-15T00:00:00,,,,1
4112,Chennai,Ambathur,38.0,2005-08-16T00:00:00,,,,1
