_id,District,Station,Rainfall,Date,,Lable,Dam
14989,Chennai,Anna Nagar,24.2,2022-01-11T00:00:00,,,
15014,Chennai,Anna Nagar,113.4,2022-02-11T00:00:00,,,
15064,Chennai,Anna Nagar,7.2,2022-03-11T00:00:00,,,
15102,Chennai,Anna Nagar,59.4,2022-04-11T00:00:00,,,
15182,Chennai,Anna Nagar,1,2022-05-11T00:00:00,,,
15205,Chennai,Anna Nagar,3.8,2022-06-11T00:00:00,,,
15293,Chennai,Anna Nagar,6.6,2022-08-11T00:00:00,,,
15311,Chennai,Anna Nagar,25,2022-09-11T00:00:00,,,
15358,Chennai,Anna Nagar,4.4,2022-10-11T00:00:00,,,
15405,Chennai,Anna Nagar,59,2022-11-11T00:00:00,,,
15485,Chennai,Anna Nagar,15.8,2022-12-11T00:00:00,,,
15521,Chennai,Anna Nagar,33.4,2022-11-13T00:00:00,,,
15593,Chennai,Anna Nagar,0.4,2022-11-14T00:00:00,,,
15606,Chennai,Anna Nagar,46.4,2022-11-15T00:00:00,,,
15682,Chennai,Anna Nagar,0.2,2022-11-19T00:00:00,,,
15810,Chennai,Anna Nagar,0.2,2022-11-24T00:00:00,,,
15887,Chennai,Anna Nagar,1,2022-01-12T00:00:00,,,
15932,Chennai,Anna Nagar,1.8,2022-04-12T00:00:00,,,
15955,Chennai,Anna Nagar,0.2,2022-05-12T00:00:00,,,
15979,Chennai,Anna Nagar,34.6,2022-09-12T00:00:00,,,
16043,Chennai,Anna Nagar,91.6,2022-10-12T00:00:00,,,
16076,Chennai,Anna Nagar,11.8,2022-11-12T00:00:00,,,
16135,Chennai,Anna Nagar,14,2022-12-12T00:00:00,,,
16207,Chennai,Anna Nagar,16.8,2022-12-13T00:00:00,,,
16222,Chennai,Anna Nagar,0.2,2022-12-23T00:00:00,,,
16251,Chennai,Anna Nagar,16.8,2022-12-25T00:00:00,,,
16297,Chennai,Anna Nagar,10.4,2022-12-26T00:00:00,,,
16343,Chennai,Anna Nagar,0.4,2022-12-27T00:00:00,,,
16409,Chennai,Anna Nagar,0.2,2023-10-01T00:00:00,,,
16628,Chennai,Anna Nagar,0.2,2023-03-22T00:00:00,,,
16695,Chennai,Anna Nagar,0.2,2023-04-23T00:00:00,,,
16706,Chennai,Anna Nagar,0.4,2023-04-24T00:00:00,,,
16727,Chennai,Anna Nagar,0.2,2023-04-25T00:00:00,,,
16766,Chennai,Anna Nagar,59.8,2023-02-05T00:00:00,,,
16888,Chennai,Anna Nagar,0.2,2023-05-31T00:00:00,,,
16944,Chennai,Anna Nagar,1.8,2023-10-06T00:00:00,,,
16970,Chennai,Anna Nagar,0.2,2023-11-06T00:00:00,,,
16989,Chennai,Anna Nagar,4.6,2023-12-06T00:00:00,,,
17093,Chennai,Anna Nagar,84.4,2023-06-19T00:00:00,,,
17179,Chennai,Anna Nagar,18,2023-06-20T00:00:00,,,
17229,Chennai,Anna Nagar,1.2,2023-06-21T00:00:00,,,
17256,Chennai,Anna Nagar,0.8,2023-06-22T00:00:00,,,
17285,Chennai,Anna Nagar,22.2,2023-06-23T00:00:00,,,
17354,Chennai,Anna Nagar,0.2,2023-06-24T00:00:00,,,
17463,Chennai,Anna Nagar,1,2023-03-07T00:00:00,,,
17581,Chennai,Anna Nagar,6.8,2023-07-13T00:00:00,,,
17650,Chennai,Anna Nagar,0.8,2023-07-14T00:00:00,,,
17712,Chennai,Anna Nagar,0.2,2023-07-20T00:00:00,,,
17756,Chennai,Anna Nagar,0.2,2023-07-23T00:00:00,,,
17780,Chennai,Anna Nagar,1,2023-07-24T00:00:00,,,
17853,Chennai,Anna Nagar,3.2,2023-07-25T00:00:00,,,
17902,Chennai,Anna Nagar,0.4,2023-07-26T00:00:00,,,
17933,Chennai,Anna Nagar,0.4,2023-07-28T00:00:00,,,
18142,Chennai,Anna Nagar,3,2023-08-15T00:00:00,,,
18235,Chennai,Anna Nagar,0.6,2023-08-18T00:00:00,,,
18648,Chennai,Anna Nagar,0.6,2023-07-09T00:00:00,,,
18691,Chennai,Anna Nagar,12.8,2023-08-09T00:00:00,,,
18890,Chennai,Anna Nagar,6,2023-09-17T00:00:00,,,
18909,Chennai,Anna Nagar,0.8,2023-09-18T00:00:00,,,
18952,Chennai,Anna Nagar,3,2023-09-19T00:00:00,,,
19171,Chennai,Anna Nagar,44.4,2023-09-28T00:00:00,,,
19372,Chennai,Anna Nagar,2.2,2023-05-10T00:00:00,,,
19441,Chennai,Anna Nagar,2.6,2023-08-10T00:00:00,,,
19457,Chennai,Anna Nagar,1.4,2023-11-10T00:00:00,,,
19522,Chennai,Anna Nagar,12.6,2023-10-15T00:00:00,,,
19571,Chennai,Anna Nagar,0.2,2023-10-16T00:00:00,,,
19644,Chennai,Anna Nagar,7.4,2023-10-22T00:00:00,,,
19865,Chennai,Anna Nagar,1,2023-01-11T00:00:00,,,
19903,Chennai,Anna Nagar,0.2,2023-02-11T00:00:00,,,
