_id,District,Station,Rainfall,Date,,Lable,Dam
1965,Chennai,Anna university,2.6,1998-11-17T00:00:00,,,
3563,Chennai,Anna university,10.2,2004-09-30T00:00:00,,,
3574,Chennai,Anna university,16.4,2004-02-10T00:00:00,,,
3612,Chennai,Anna university,15.2,2004-10-18T00:00:00,,,
3629,Chennai,Anna university,20.2,2004-10-19T00:00:00,,,
3630,Chennai,Anna university,18.1,2004-10-20T00:00:00,,,
3642,Chennai,Anna university,4.2,2004-10-21T00:00:00,,,
3653,Chennai,Anna university,1.5,2004-10-22T00:00:00,,,
3658,Chennai,Anna university,9.1,2004-10-23T00:00:00,,,
3671,Chennai,Anna university,26.6,2004-10-24T00:00:00,,,
3677,Chennai,Anna university,19.2,2004-10-25T00:00:00,,,
3690,Chennai,Anna university,2.3,2004-10-26T00:00:00,,,
3706,Chennai,Anna university,5.9,2004-10-27T00:00:00,,,
3710,Chennai,Anna university,20.2,2004-10-28T00:00:00,,,
3728,Chennai,Anna university,49.4,2004-10-29T00:00:00,,,
3737,Chennai,Anna university,61,2004-10-30T00:00:00,,,
3745,Chennai,Anna university,12.8,2004-10-31T00:00:00,,,
3756,Chennai,Anna university,3.3,2004-01-11T00:00:00,,,
3773,Chennai,Anna university,0.1,2004-02-11T00:00:00,,,
3777,Chennai,Anna university,0.3,2004-03-11T00:00:00,,,
3798,Chennai,Anna university,73,2004-06-11T00:00:00,,,
3810,Chennai,Anna university,36.2,2004-07-11T00:00:00,,,
3820,Chennai,Anna university,8.1,2004-08-11T00:00:00,,,
3824,Chennai,Anna university,4.2,2004-09-11T00:00:00,,,
3837,Chennai,Anna university,6.9,2004-10-11T00:00:00,,,
3842,Chennai,Anna university,1.8,2004-11-11T00:00:00,,,
3856,Chennai,Anna university,5.9,2004-12-11T00:00:00,,,
3865,Chennai,Anna university,73.1,2004-11-13T00:00:00,,,
3877,Chennai,Anna university,4.9,2004-11-26T00:00:00,,,
3885,Chennai,Anna university,6.1,2004-11-27T00:00:00,,,
3913,Chennai,Anna university,1,2004-12-13T00:00:00,,,
3938,Chennai,Anna university,3.5,2005-03-04T00:00:00,,,
3944,Chennai,Anna university,0.3,2005-04-04T00:00:00,,,
3951,Chennai,Anna university,28.5,2005-05-04T00:00:00,,,
3965,Chennai,Anna university,25.5,2005-06-04T00:00:00,,,
3967,Chennai,Anna university,1.4,2005-07-04T00:00:00,,,
3980,Chennai,Anna university,2,2005-01-05T00:00:00,,,
3985,Chennai,Anna university,33.2,2005-02-05T00:00:00,,,
4001,Chennai,Anna university,5,2005-09-06T00:00:00,,,
4011,Chennai,Anna university,2.7,2005-06-23T00:00:00,,,
4047,Chennai,Anna university,33.4,2005-07-21T00:00:00,,,
4057,Chennai,Anna university,8.8,2005-07-23T00:00:00,,,
4063,Chennai,Anna university,38,2005-07-24T00:00:00,,,
4070,Chennai,Anna university,8,2005-07-26T00:00:00,,,
4087,Chennai,Anna university,0.2,2005-07-29T00:00:00,,,
4099,Chennai,Anna university,1.4,2005-11-08T00:00:00,,,
4106,Chennai,Anna university,22.3,2005-08-15T00:00:00,,,
4117,Chennai,Anna university,11,2005-08-16T00:00:00,,,
4124,Chennai,Anna university,4.4,2005-08-17T00:00:00,,,
4131,Chennai,Anna university,13.8,2005-08-26T00:00:00,,,
4140,Chennai,Anna university,3.2,2005-08-31T00:00:00,,,
4149,Chennai,Anna university,9.6,2005-07-09T00:00:00,,,
4160,Chennai,Anna university,2,2005-08-09T00:00:00,,,
4170,Chennai,Anna university,5.2,2005-09-09T00:00:00,,,
4181,Chennai,Anna university,5.2,2005-10-09T00:00:00,,,
4187,Chennai,Anna university,19.6,2005-11-09T00:00:00,,,
4200,Chennai,Anna university,22.8,2005-09-25T00:00:00,,,
4206,Chennai,Anna university,0.8,2005-09-28T00:00:00,,,
4212,Chennai,Anna university,1.6,2005-09-30T00:00:00,,,
4218,Chennai,Anna university,1.8,2005-02-10T00:00:00,,,
4220,Chennai,Anna university,0.2,2005-03-10T00:00:00,,,
4227,Chennai,Anna university,23.4,2005-10-10T00:00:00,,,
4236,Chennai,Anna university,5.2,2005-11-10T00:00:00,,,
4242,Chennai,Anna university,91,2005-12-10T00:00:00,,,
4253,Chennai,Anna university,126.2,2005-10-13T00:00:00,,,
4262,Chennai,Anna university,19.6,2005-10-14T00:00:00,,,
4273,Chennai,Anna university,1.4,2005-10-18T00:00:00,,,
4278,Chennai,Anna university,30,2005-10-19T00:00:00,,,
4289,Chennai,Anna university,23.4,2005-10-20T00:00:00,,,
4295,Chennai,Anna university,2.4,2005-10-21T00:00:00,,,
4309,Chennai,Anna university,3.6,2005-10-23T00:00:00,,,
4318,Chennai,Anna university,19.8,2005-10-24T00:00:00,,,
4326,Chennai,Anna university,28.2,2005-10-25T00:00:00,,,
4335,Chennai,Anna university,14.8,2005-10-26T00:00:00,,,
4344,Chennai,Anna university,198.4,2005-10-27T00:00:00,,,
4351,Chennai,Anna university,172.8,2005-10-28T00:00:00,,,
4369,Chennai,Anna university,1.2,2005-03-11T00:00:00,,,
4375,Chennai,Anna university,9.4,2005-04-11T00:00:00,,,
4387,Chennai,Anna university,20.5,2005-05-11T00:00:00,,,
4389,Chennai,Anna university,106.6,2005-06-11T00:00:00,,,
4397,Chennai,Anna university,143.6,2005-07-11T00:00:00,,,
4406,Chennai,Anna university,25.2,2005-08-11T00:00:00,,,
4417,Chennai,Anna university,9.2,2005-09-11T00:00:00,,,
4426,Chennai,Anna university,3.6,2005-10-11T00:00:00,,,
4441,Chennai,Anna university,8,2005-12-11T00:00:00,,,
4444,Chennai,Anna university,47.2,2005-11-21T00:00:00,,,
4454,Chennai,Anna university,64.6,2005-11-22T00:00:00,,,
4468,Chennai,Anna university,32.2,2005-11-23T00:00:00,,,
4474,Chennai,Anna university,34.8,2005-11-24T00:00:00,,,
4482,Chennai,Anna university,26.4,2005-11-25T00:00:00,,,
4492,Chennai,Anna university,63.6,2005-11-26T00:00:00,,,
4503,Chennai,Anna university,6.8,2005-11-27T00:00:00,,,
4513,Chennai,Anna university,3.2,2005-02-12T00:00:00,,,
4521,Chennai,Anna university,196.6,2005-03-12T00:00:00,,,
4532,Chennai,Anna university,15.4,2005-04-12T00:00:00,,,
4539,Chennai,Anna university,9.4,2005-10-12T00:00:00,,,
4552,Chennai,Anna university,3.6,2005-11-12T00:00:00,,,
4557,Chennai,Anna university,16,2005-12-12T00:00:00,,,
4567,Chennai,Anna university,32.4,2005-12-13T00:00:00,,,
4574,Chennai,Anna university,0.8,2005-12-14T00:00:00,,,
4579,Chennai,Anna university,74.4,2005-12-18T00:00:00,,,
4591,Chennai,Anna university,63.2,2005-12-19T00:00:00,,,
4604,Chennai,Anna university,7.8,2005-12-20T00:00:00,,,
4612,Chennai,Anna university,0.3,2005-12-21T00:00:00,,,
4615,Chennai,Anna university,1.6,2005-12-22T00:00:00,,,
4628,Chennai,Anna university,15,2006-04-03T00:00:00,,,
4647,Chennai,Anna university,11.2,2006-04-18T00:00:00,,,
4656,Chennai,Anna university,14.4,2006-05-26T00:00:00,,,
4671,Chennai,Anna university,1.3,2006-04-06T00:00:00,,,
4680,Chennai,Anna university,0.4,2006-06-06T00:00:00,,,
4683,Chennai,Anna university,9,2006-06-14T00:00:00,,,
4693,Chennai,Anna university,3.2,2006-06-23T00:00:00,,,
4701,Chennai,Anna university,3,2006-06-24T00:00:00,,,
4713,Chennai,Anna university,3.6,2006-06-27T00:00:00,,,
4719,Chennai,Anna university,5,2006-06-28T00:00:00,,,
4736,Chennai,Anna university,0.4,2006-11-07T00:00:00,,,
4740,Chennai,Anna university,2,2006-12-07T00:00:00,,,
4746,Chennai,Anna university,23.2,2006-07-13T00:00:00,,,
4756,Chennai,Anna university,5.8,2006-07-15T00:00:00,,,
4761,Chennai,Anna university,5,2006-07-17T00:00:00,,,
4765,Chennai,Anna university,5.2,2006-07-20T00:00:00,,,
4772,Chennai,Anna university,29.2,2006-07-21T00:00:00,,,
4783,Chennai,Anna university,1,2006-07-25T00:00:00,,,
4789,Chennai,Anna university,0.1,2006-07-26T00:00:00,,,
4792,Chennai,Anna university,3,2006-07-27T00:00:00,,,
4801,Chennai,Anna university,3,2006-07-28T00:00:00,,,
4811,Chennai,Anna university,6,2006-01-08T00:00:00,,,
4818,Chennai,Anna university,3.6,2006-04-08T00:00:00,,,
4830,Chennai,Anna university,6.4,2006-07-08T00:00:00,,,
4837,Chennai,Anna university,4,2006-09-08T00:00:00,,,
4843,Chennai,Anna university,18,2006-10-08T00:00:00,,,
4854,Chennai,Anna university,8,2006-11-08T00:00:00,,,
4868,Chennai,Anna university,1.6,2006-12-08T00:00:00,,,
4876,Chennai,Anna university,15,2006-08-14T00:00:00,,,
4885,Chennai,Anna university,14.1,2006-08-15T00:00:00,,,
4893,Chennai,Anna university,6,2006-08-16T00:00:00,,,
4899,Chennai,Anna university,10.8,2006-08-17T00:00:00,,,
4908,Chennai,Anna university,19.2,2006-08-27T00:00:00,,,
4926,Chennai,Anna university,6.6,2006-04-09T00:00:00,,,
4940,Chennai,Anna university,5.3,2006-09-15T00:00:00,,,
4949,Chennai,Anna university,10.6,2006-09-20T00:00:00,,,
4966,Chennai,Anna university,17.6,2006-09-25T00:00:00,,,
4980,Chennai,Anna university,3,2006-09-26T00:00:00,,,
