_id,District,Station,Rainfall,Date,,Lable,Dam
1960,Chennai,Ayanavaram taluk office,12,1998-11-17T00:00:00,,,
10863,Chennai,Ayanavaram taluk office,22.2,2017-10-30T00:00:00,,,
10876,Chennai,Ayanavaram taluk office,152,2017-10-31T00:00:00,,,
10889,Chennai,Ayanavaram taluk office,39,2017-01-11T00:00:00,,,
10894,Chennai,Ayanavaram taluk office,44.6,2017-02-11T00:00:00,,,
10910,Chennai,Ayanavaram taluk office,120.3,2017-03-11T00:00:00,,,
10919,Chennai,Ayanavaram taluk office,54.2,2017-04-11T00:00:00,,,
10928,Chennai,Ayanavaram taluk office,15.4,2017-05-11T00:00:00,,,
10934,Chennai,Ayanavaram taluk office,22,2017-06-11T00:00:00,,,
10945,Chennai,Ayanavaram taluk office,31.5,2017-07-11T00:00:00,,,
10957,Chennai,Ayanavaram taluk office,28.6,2017-08-11T00:00:00,,,
10976,Chennai,Ayanavaram taluk office,3,2017-12-11T00:00:00,,,
10983,Chennai,Ayanavaram taluk office,62,2017-11-13T00:00:00,,,
10999,Chennai,Ayanavaram taluk office,31.2,2017-11-14T00:00:00,,,
11006,Chennai,Ayanavaram taluk office,12.4,2017-11-15T00:00:00,,,
11017,Chennai,Ayanavaram taluk office,4,2017-11-20T00:00:00,,,
11026,Chennai,Ayanavaram taluk office,0.2,2017-11-21T00:00:00,,,
11034,Chennai,Ayanavaram taluk office,91,2017-11-27T00:00:00,,,
11055,Chennai,Ayanavaram taluk office,27,2017-11-30T00:00:00,,,
11067,Chennai,Ayanavaram taluk office,55.9,2017-01-12T00:00:00,,,
11078,Chennai,Ayanavaram taluk office,2,2017-02-12T00:00:00,,,
11105,Chennai,Ayanavaram taluk office,0.2,2018-03-17T00:00:00,,,
11117,Chennai,Ayanavaram taluk office,7.3,2018-07-06T00:00:00,,,
11128,Chennai,Ayanavaram taluk office,6.3,2018-06-16T00:00:00,,,
11136,Chennai,Ayanavaram taluk office,8,2018-06-27T00:00:00,,,
11144,Chennai,Ayanavaram taluk office,66,2018-03-07T00:00:00,,,
11155,Chennai,Ayanavaram taluk office,6.3,2018-10-07T00:00:00,,,
11168,Chennai,Ayanavaram taluk office,4.6,2018-11-07T00:00:00,,,
11176,Chennai,Ayanavaram taluk office,28.2,2018-12-07T00:00:00,,,
11185,Chennai,Ayanavaram taluk office,8,2018-07-13T00:00:00,,,
11201,Chennai,Ayanavaram taluk office,6.3,2018-07-24T00:00:00,,,
11213,Chennai,Ayanavaram taluk office,12,2018-07-27T00:00:00,,,
11224,Chennai,Ayanavaram taluk office,7.4,2018-07-30T00:00:00,,,
11240,Chennai,Ayanavaram taluk office,1.8,2018-01-08T00:00:00,,,
11274,Chennai,Ayanavaram taluk office,10,2018-09-08T00:00:00,,,
11284,Chennai,Ayanavaram taluk office,22,2018-10-08T00:00:00,,,
11294,Chennai,Ayanavaram taluk office,8,2018-11-08T00:00:00,,,
11304,Chennai,Ayanavaram taluk office,7.2,2018-12-08T00:00:00,,,
11330,Chennai,Ayanavaram taluk office,46,2018-08-15T00:00:00,,,
11339,Chennai,Ayanavaram taluk office,7,2018-08-17T00:00:00,,,
11354,Chennai,Ayanavaram taluk office,2.4,2018-08-25T00:00:00,,,
11364,Chennai,Ayanavaram taluk office,18,2018-08-28T00:00:00,,,
11379,Chennai,Ayanavaram taluk office,32,2018-08-31T00:00:00,,,
11413,Chennai,Ayanavaram taluk office,32,2018-09-17T00:00:00,,,
11426,Chennai,Ayanavaram taluk office,12,2018-09-18T00:00:00,,,
11437,Chennai,Ayanavaram taluk office,20.7,2018-09-19T00:00:00,,,
11471,Chennai,Ayanavaram taluk office,4,2018-04-10T00:00:00,,,
11475,Chennai,Ayanavaram taluk office,72,2018-05-10T00:00:00,,,
11492,Chennai,Ayanavaram taluk office,28,2018-06-10T00:00:00,,,
11501,Chennai,Ayanavaram taluk office,15,2018-07-10T00:00:00,,,
11520,Chennai,Ayanavaram taluk office,21,2018-10-18T00:00:00,,,
11536,Chennai,Ayanavaram taluk office,2.2,2018-10-21T00:00:00,,,
11547,Chennai,Ayanavaram taluk office,12,2018-10-31T00:00:00,,,
11556,Chennai,Ayanavaram taluk office,59,2018-01-11T00:00:00,,,
11572,Chennai,Ayanavaram taluk office,11,2018-02-11T00:00:00,,,
11595,Chennai,Ayanavaram taluk office,4.4,2018-11-15T00:00:00,,,
11604,Chennai,Ayanavaram taluk office,7,2018-11-16T00:00:00,,,
11624,Chennai,Ayanavaram taluk office,7.4,2018-11-20T00:00:00,,,
11633,Chennai,Ayanavaram taluk office,12.3,2018-11-21T00:00:00,,,
11641,Chennai,Ayanavaram taluk office,59.3,2018-11-22T00:00:00,,,
11655,Chennai,Ayanavaram taluk office,18.3,2018-11-23T00:00:00,,,
11667,Chennai,Ayanavaram taluk office,12.2,2018-04-12T00:00:00,,,
11683,Chennai,Ayanavaram taluk office,12.2,2018-06-12T00:00:00,,,
11711,Chennai,Ayanavaram taluk office,5,2019-10-07T00:00:00,,,
11727,Chennai,Ayanavaram taluk office,42,2019-07-16T00:00:00,,,
11745,Chennai,Ayanavaram taluk office,10,2019-07-22T00:00:00,,,
11766,Chennai,Ayanavaram taluk office,38,2019-07-24T00:00:00,,,
11783,Chennai,Ayanavaram taluk office,13,2019-07-25T00:00:00,,,
11795,Chennai,Ayanavaram taluk office,13.2,2019-07-26T00:00:00,,,
11810,Chennai,Ayanavaram taluk office,4,2019-05-08T00:00:00,,,
11839,Chennai,Ayanavaram taluk office,11,2019-08-15T00:00:00,,,
11856,Chennai,Ayanavaram taluk office,62,2019-08-18T00:00:00,,,
11874,Chennai,Ayanavaram taluk office,17,2019-08-19T00:00:00,,,
11890,Chennai,Ayanavaram taluk office,10,2019-08-21T00:00:00,,,
11902,Chennai,Ayanavaram taluk office,5,2019-08-24T00:00:00,,,
11917,Chennai,Ayanavaram taluk office,20,2019-08-29T00:00:00,,,
11934,Chennai,Ayanavaram taluk office,20,2019-08-31T00:00:00,,,
11959,Chennai,Ayanavaram taluk office,5,2019-04-09T00:00:00,,,
11973,Chennai,Ayanavaram taluk office,4,2019-05-09T00:00:00,,,
11991,Chennai,Ayanavaram taluk office,7,2019-12-09T00:00:00,,,
12009,Chennai,Ayanavaram taluk office,3,2019-09-16T00:00:00,,,
12021,Chennai,Ayanavaram taluk office,3,2019-09-17T00:00:00,,,
12028,Chennai,Ayanavaram taluk office,96,2019-09-19T00:00:00,,,
12040,Chennai,Ayanavaram taluk office,33,2019-09-20T00:00:00,,,
12052,Chennai,Ayanavaram taluk office,8,2019-09-21T00:00:00,,,
12063,Chennai,Ayanavaram taluk office,6,2019-09-23T00:00:00,,,
12072,Chennai,Ayanavaram taluk office,6,2019-09-24T00:00:00,,,
12085,Chennai,Ayanavaram taluk office,29,2019-09-26T00:00:00,,,
12103,Chennai,Ayanavaram taluk office,3,2019-10-15T00:00:00,,,
12111,Chennai,Ayanavaram taluk office,7,2019-10-16T00:00:00,,,
12127,Chennai,Ayanavaram taluk office,6,2019-10-17T00:00:00,,,
12130,Chennai,Ayanavaram taluk office,132,2019-10-18T00:00:00,,,
12145,Chennai,Ayanavaram taluk office,10,2019-10-19T00:00:00,,,
12154,Chennai,Ayanavaram taluk office,14.2,2019-10-20T00:00:00,,,
12168,Chennai,Ayanavaram taluk office,38.3,2019-10-21T00:00:00,,,
12182,Chennai,Ayanavaram taluk office,20,2019-10-22T00:00:00,,,
12191,Chennai,Ayanavaram taluk office,4,2019-10-23T00:00:00,,,
12196,Chennai,Ayanavaram taluk office,4,2019-10-24T00:00:00,,,
12206,Chennai,Ayanavaram taluk office,20.2,2019-10-26T00:00:00,,,
12221,Chennai,Ayanavaram taluk office,3,2019-10-28T00:00:00,,,
12229,Chennai,Ayanavaram taluk office,5,2019-10-29T00:00:00,,,
12243,Chennai,Ayanavaram taluk office,36,2019-10-30T00:00:00,,,
12250,Chennai,Ayanavaram taluk office,17,2019-10-31T00:00:00,,,
12258,Chennai,Ayanavaram taluk office,6,2019-01-11T00:00:00,,,
12266,Chennai,Ayanavaram taluk office,3,2019-11-13T00:00:00,,,
12268,Chennai,Ayanavaram taluk office,3,2019-11-14T00:00:00,,,
12270,Chennai,Ayanavaram taluk office,9,2019-11-15T00:00:00,,,
12286,Chennai,Ayanavaram taluk office,2,2019-11-18T00:00:00,,,
12294,Chennai,Ayanavaram taluk office,19,2019-11-20T00:00:00,,,
12315,Chennai,Ayanavaram taluk office,7,2019-11-22T00:00:00,,,
