_id,District,Station,Rainfall,Date,,Lable,Dam
1,Chennai,Chennai port trust,10,1993-03-03T00:00:00,,,
2,Chennai,Chennai port trust,10,1993-03-03T00:00:00,,,
7,Chennai,Chennai port trust,46,1993-05-16T00:00:00,,,
8,Chennai,Chennai port trust,46,1993-05-16T00:00:00,,,
11,Chennai,Chennai port trust,8,1993-05-27T00:00:00,,,
12,Chennai,Chennai port trust,8,1993-05-27T00:00:00,,,
17,Chennai,Chennai port trust,2,1993-04-06T00:00:00,,,
18,Chennai,Chennai port trust,2,1993-04-06T00:00:00,,,
21,Chennai,Chennai port trust,21,1993-09-06T00:00:00,,,
22,Chennai,Chennai port trust,21,1993-09-06T00:00:00,,,
25,Chennai,Chennai port trust,3.1,1993-06-13T00:00:00,,,
26,Chennai,Chennai port trust,3.1,1993-06-13T00:00:00,,,
29,Chennai,Chennai port trust,1.8,1993-06-14T00:00:00,,,
30,Chennai,Chennai port trust,1.8,1993-06-14T00:00:00,,,
31,Chennai,Chennai port trust,4.8,1993-06-15T00:00:00,,,
32,Chennai,Chennai port trust,4.8,1993-06-15T00:00:00,,,
37,Chennai,Chennai port trust,20.2,1993-02-07T00:00:00,,,
38,Chennai,Chennai port trust,20.2,1993-02-07T00:00:00,,,
41,Chennai,Chennai port trust,1.6,1993-06-07T00:00:00,,,
42,Chennai,Chennai port trust,1.6,1993-06-07T00:00:00,,,
45,Chennai,Chennai port trust,4.6,1993-07-07T00:00:00,,,
46,Chennai,Chennai port trust,4.6,1993-07-07T00:00:00,,,
49,Chennai,Chennai port trust,8.8,1993-08-07T00:00:00,,,
50,Chennai,Chennai port trust,8.8,1993-08-07T00:00:00,,,
57,Chennai,Chennai port trust,2,1993-10-07T00:00:00,,,
58,Chennai,Chennai port trust,2,1993-10-07T00:00:00,,,
65,Chennai,Chennai port trust,13.4,1993-07-22T00:00:00,,,
66,Chennai,Chennai port trust,13.4,1993-07-22T00:00:00,,,
67,Chennai,Chennai port trust,2.2,1993-07-23T00:00:00,,,
68,Chennai,Chennai port trust,2.2,1993-07-23T00:00:00,,,
73,Chennai,Chennai port trust,5.4,1993-07-24T00:00:00,,,
74,Chennai,Chennai port trust,5.4,1993-07-24T00:00:00,,,
