_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
14212,Chennai,Ezhilgam,27.8,2021-11-18T00:00:00,,,,1
14232,Chennai,Ezhilgam,19.36,2021-11-19T00:00:00,,,,1
14273,Chennai,Ezhilgam,1.16,2021-11-20T00:00:00,,,,0
14276,Chennai,Ezhilgam,5.83,2021-11-21T00:00:00,,,,0
14292,Chennai,Ezhilgam,4.2,2021-11-22T00:00:00,,,,0
14297,Chennai,Ezhilgam,37.13,2021-11-23T00:00:00,,,,1
14309,Chennai,Ezhilgam,1.07,2021-11-25T00:00:00,,,,0
14320,Chennai,Ezhilgam,26.6,2021-11-26T00:00:00,,,,1
14325,Chennai,Ezhilgam,97.61,2021-11-27T00:00:00,,,,1
14340,Chennai,Ezhilgam,42.04,2021-11-28T00:00:00,,,,1
14356,Chennai,Ezhilgam,13.98,2021-11-29T00:00:00,,,,0
14369,Chennai,Ezhilgam,5.4,2021-11-30T00:00:00,,,,0
14380,Chennai,Ezhilgam,1.8,2021-01-12T00:00:00,,,,0
14393,Chennai,Ezhilgam,1.8,2021-11-12T00:00:00,,,,0
14405,Chennai,Ezhilgam,0.6,2021-12-12T00:00:00,,,,0
14412,Chennai,Ezhilgam,22.4,2021-12-13T00:00:00,,,,1
