_id,District,Station,Rainfall,Date,,Lable,Dam
3576,Chennai,Govt. arts college,8.5,2004-02-10T00:00:00,,,
3618,Chennai,Govt. arts college,0.1,2004-10-18T00:00:00,,,
3626,Chennai,Govt. arts college,22,2004-10-19T00:00:00,,,
3634,Chennai,Govt. arts college,4,2004-10-20T00:00:00,,,
3648,Chennai,Govt. arts college,2,2004-10-21T00:00:00,,,
3657,Chennai,Govt. arts college,10,2004-10-23T00:00:00,,,
3665,Chennai,Govt. arts college,57,2004-10-24T00:00:00,,,
3682,Chennai,Govt. arts college,2,2004-10-25T00:00:00,,,
3691,Chennai,Govt. arts college,2,2004-10-26T00:00:00,,,
3698,Chennai,Govt. arts college,10,2004-10-27T00:00:00,,,
3715,Chennai,Govt. arts college,8,2004-10-28T00:00:00,,,
3725,Chennai,Govt. arts college,62,2004-10-29T00:00:00,,,
3740,Chennai,Govt. arts college,39,2004-10-30T00:00:00,,,
3750,Chennai,Govt. arts college,12,2004-10-31T00:00:00,,,
3761,Chennai,Govt. arts college,1,2004-01-11T00:00:00,,,
3791,Chennai,Govt. arts college,104,2004-06-11T00:00:00,,,
3801,Chennai,Govt. arts college,73,2004-07-11T00:00:00,,,
3812,Chennai,Govt. arts college,19,2004-08-11T00:00:00,,,
3825,Chennai,Govt. arts college,2,2004-09-11T00:00:00,,,
3836,Chennai,Govt. arts college,7.6,2004-10-11T00:00:00,,,
3841,Chennai,Govt. arts college,2.2,2004-11-11T00:00:00,,,
3850,Chennai,Govt. arts college,14,2004-12-11T00:00:00,,,
3869,Chennai,Govt. arts college,40.2,2004-11-13T00:00:00,,,
3874,Chennai,Govt. arts college,18.4,2004-11-26T00:00:00,,,
3883,Chennai,Govt. arts college,14.6,2004-11-27T00:00:00,,,
3907,Chennai,Govt. arts college,2,2004-09-12T00:00:00,,,
3954,Chennai,Govt. arts college,12,2005-05-04T00:00:00,,,
3964,Chennai,Govt. arts college,42,2005-06-04T00:00:00,,,
3969,Chennai,Govt. arts college,1,2005-07-04T00:00:00,,,
3989,Chennai,Govt. arts college,21,2005-02-05T00:00:00,,,
3999,Chennai,Govt. arts college,14,2005-09-06T00:00:00,,,
4045,Chennai,Govt. arts college,45,2005-07-21T00:00:00,,,
4053,Chennai,Govt. arts college,12,2005-07-23T00:00:00,,,
4067,Chennai,Govt. arts college,22,2005-07-24T00:00:00,,,
4084,Chennai,Govt. arts college,1.3,2005-07-29T00:00:00,,,
4111,Chennai,Govt. arts college,18,2005-08-15T00:00:00,,,
4120,Chennai,Govt. arts college,10,2005-08-16T00:00:00,,,
4145,Chennai,Govt. arts college,4,2005-01-09T00:00:00,,,
4162,Chennai,Govt. arts college,1.5,2005-08-09T00:00:00,,,
4166,Chennai,Govt. arts college,27,2005-09-09T00:00:00,,,
4176,Chennai,Govt. arts college,27,2005-10-09T00:00:00,,,
4189,Chennai,Govt. arts college,15,2005-11-09T00:00:00,,,
4202,Chennai,Govt. arts college,14,2005-09-25T00:00:00,,,
4211,Chennai,Govt. arts college,3,2005-09-30T00:00:00,,,
4224,Chennai,Govt. arts college,35,2005-10-10T00:00:00,,,
4234,Chennai,Govt. arts college,7,2005-11-10T00:00:00,,,
4249,Chennai,Govt. arts college,11,2005-12-10T00:00:00,,,
4258,Chennai,Govt. arts college,48,2005-10-13T00:00:00,,,
4267,Chennai,Govt. arts college,14,2005-10-14T00:00:00,,,
4270,Chennai,Govt. arts college,3,2005-10-16T00:00:00,,,
4280,Chennai,Govt. arts college,28,2005-10-19T00:00:00,,,
4290,Chennai,Govt. arts college,16,2005-10-20T00:00:00,,,
4298,Chennai,Govt. arts college,1.7,2005-10-21T00:00:00,,,
4305,Chennai,Govt. arts college,18,2005-10-23T00:00:00,,,
