_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
14997,Chennai,Kodambakkam,12.4,2022-01-11T00:00:00,,,,0
15008,Chennai,Kodambakkam,128.0,2022-02-11T00:00:00,,,,1
15044,Chennai,Kodambakkam,16.6,2022-03-11T00:00:00,,,,0
15113,Chennai,Kodambakkam,42.4,2022-04-11T00:00:00,,,,1
15141,Chennai,Kodambakkam,8.6,2022-05-11T00:00:00,,,,0
15212,Chennai,Kodambakkam,2.8,2022-06-11T00:00:00,,,,0
15255,Chennai,Kodambakkam,35.0,2022-08-11T00:00:00,,,,1
15346,Chennai,Kodambakkam,2.0,2022-09-11T00:00:00,,,,0
15372,Chennai,Kodambakkam,1.2,2022-10-11T00:00:00,,,,0
15410,Chennai,Kodambakkam,56.4,2022-11-11T00:00:00,,,,1
15476,Chennai,Kodambakkam,36.6,2022-12-11T00:00:00,,,,1
15529,Chennai,Kodambakkam,28.4,2022-11-13T00:00:00,,,,1
15595,Chennai,Kodambakkam,0.4,2022-11-14T00:00:00,,,,0
15633,Chennai,Kodambakkam,14.6,2022-11-15T00:00:00,,,,0
15707,Chennai,Kodambakkam,1.6,2022-11-22T00:00:00,,,,0
15753,Chennai,Kodambakkam,4.0,2022-11-23T00:00:00,,,,0
15802,Chennai,Kodambakkam,0.4,2022-11-24T00:00:00,,,,0
15843,Chennai,Kodambakkam,0.2,2022-11-27T00:00:00,,,,0
15882,Chennai,Kodambakkam,1.8,2022-01-12T00:00:00,,,,0
15960,Chennai,Kodambakkam,68.2,2022-09-12T00:00:00,,,,1
16049,Chennai,Kodambakkam,87.6,2022-10-12T00:00:00,,,,1
16102,Chennai,Kodambakkam,6.8,2022-11-12T00:00:00,,,,0
16153,Chennai,Kodambakkam,4.0,2022-12-12T00:00:00,,,,0
16193,Chennai,Kodambakkam,23.8,2022-12-13T00:00:00,,,,1
16259,Chennai,Kodambakkam,14.4,2022-12-25T00:00:00,,,,0
16307,Chennai,Kodambakkam,8.4,2022-12-26T00:00:00,,,,0
16468,Chennai,Kodambakkam,0.2,2023-02-02T00:00:00,,,,0
16690,Chennai,Kodambakkam,0.6,2023-04-23T00:00:00,,,,0
16747,Chennai,Kodambakkam,1.8,2023-01-05T00:00:00,,,,0
16786,Chennai,Kodambakkam,35.0,2023-02-05T00:00:00,,,,1
16846,Chennai,Kodambakkam,0.2,2023-03-05T00:00:00,,,,0
16949,Chennai,Kodambakkam,0.2,2023-10-06T00:00:00,,,,0
17126,Chennai,Kodambakkam,5.2,2023-06-19T00:00:00,,,,0
17155,Chennai,Kodambakkam,45.2,2023-06-20T00:00:00,,,,1
17224,Chennai,Kodambakkam,2.4,2023-06-21T00:00:00,,,,0
17275,Chennai,Kodambakkam,31.6,2023-06-23T00:00:00,,,,1
17337,Chennai,Kodambakkam,5.0,2023-06-24T00:00:00,,,,0
17467,Chennai,Kodambakkam,0.6,2023-03-07T00:00:00,,,,0
17572,Chennai,Kodambakkam,10.2,2023-07-13T00:00:00,,,,0
17648,Chennai,Kodambakkam,1.0,2023-07-14T00:00:00,,,,0
17797,Chennai,Kodambakkam,0.4,2023-07-24T00:00:00,,,,0
17828,Chennai,Kodambakkam,17.0,2023-07-25T00:00:00,,,,0
17903,Chennai,Kodambakkam,0.4,2023-07-26T00:00:00,,,,0
17940,Chennai,Kodambakkam,0.2,2023-07-30T00:00:00,,,,0
18101,Chennai,Kodambakkam,0.6,2023-08-14T00:00:00,,,,0
18277,Chennai,Kodambakkam,2.0,2023-08-20T00:00:00,,,,0
18297,Chennai,Kodambakkam,1.0,2023-08-22T00:00:00,,,,0
18333,Chennai,Kodambakkam,3.4,2023-08-23T00:00:00,,,,0
18473,Chennai,Kodambakkam,55.2,2023-08-29T00:00:00,,,,1
18584,Chennai,Kodambakkam,16.0,2023-04-09T00:00:00,,,,0
18696,Chennai,Kodambakkam,9.6,2023-08-09T00:00:00,,,,0
18709,Chennai,Kodambakkam,0.2,2023-09-09T00:00:00,,,,0
18879,Chennai,Kodambakkam,21.4,2023-09-17T00:00:00,,,,1
18959,Chennai,Kodambakkam,1.0,2023-09-19T00:00:00,,,,0
19192,Chennai,Kodambakkam,16.0,2023-09-28T00:00:00,,,,0
19286,Chennai,Kodambakkam,0.6,2023-09-30T00:00:00,,,,0
19357,Chennai,Kodambakkam,7.2,2023-05-10T00:00:00,,,,0
19398,Chennai,Kodambakkam,0.8,2023-06-10T00:00:00,,,,0
19550,Chennai,Kodambakkam,0.6,2023-10-15T00:00:00,,,,0
19652,Chennai,Kodambakkam,4.4,2023-10-22T00:00:00,,,,0
19738,Chennai,Kodambakkam,41.2,2023-10-30T00:00:00,,,,1
19852,Chennai,Kodambakkam,3.2,2023-01-11T00:00:00,,,,0
19890,Chennai,Kodambakkam,1.2,2023-02-11T00:00:00,,,,0
19997,Chennai,Kodambakkam,17.2,2023-04-11T00:00:00,,,,0
20040,Chennai,Kodambakkam,0.6,2023-05-11T00:00:00,,,,0
20097,Chennai,Kodambakkam,4.6,2023-07-11T00:00:00,,,,0
20162,Chennai,Kodambakkam,2.4,2023-08-11T00:00:00,,,,0
20226,Chennai,Kodambakkam,24.2,2023-10-11T00:00:00,,,,1
20303,Chennai,Kodambakkam,11.4,2023-11-14T00:00:00,,,,0
20346,Chennai,Kodambakkam,65.2,2023-11-15T00:00:00,,,,1
20434,Chennai,Kodambakkam,4.0,2023-11-16T00:00:00,,,,0
20543,Chennai,Kodambakkam,20.8,2023-11-21T00:00:00,,,,1
20583,Chennai,Kodambakkam,26.8,2023-11-22T00:00:00,,,,1
20650,Chennai,Kodambakkam,6.4,2023-11-23T00:00:00,,,,0
20672,Chennai,Kodambakkam,5.4,2023-11-24T00:00:00,,,,0
20728,Chennai,Kodambakkam,26.2,2023-11-25T00:00:00,,,,1
20855,Chennai,Kodambakkam,13.2,2023-11-27T00:00:00,,,,0
20898,Chennai,Kodambakkam,8.6,2023-11-28T00:00:00,,,,0
20931,Chennai,Kodambakkam,34.8,2023-11-29T00:00:00,,,,1
21003,Chennai,Kodambakkam,80.2,2023-11-30T00:00:00,,,,1
21152,Chennai,Kodambakkam,28.6,2023-03-12T00:00:00,,,,1
21182,Chennai,Kodambakkam,176.0,2023-04-12T00:00:00,,,,1
21222,Chennai,Kodambakkam,184.8,2023-05-12T00:00:00,,,,1
21268,Chennai,Kodambakkam,2.6,2023-08-12T00:00:00,,,,0
21374,Chennai,Kodambakkam,9.6,2023-12-16T00:00:00,,,,0
