_id,District,Station,Rainfall,Date,,Lable,Dam
1959,Chennai,Gov hr sec school MGR Nagar,14,1998-11-17T00:00:00,,,
10841,Chennai,Gov hr sec school MGR Nagar,1.2,2017-10-26T00:00:00,,,
10844,Chennai,Gov hr sec school MGR Nagar,4,2017-10-27T00:00:00,,,
10852,Chennai,Gov hr sec school MGR Nagar,1.2,2017-10-28T00:00:00,,,
10860,Chennai,Gov hr sec school MGR Nagar,3.6,2017-10-29T00:00:00,,,
10864,Chennai,Gov hr sec school MGR Nagar,18.2,2017-10-30T00:00:00,,,
10882,Chennai,Gov hr sec school MGR Nagar,103.4,2017-10-31T00:00:00,,,
10884,Chennai,Gov hr sec school MGR Nagar,66.2,2017-01-11T00:00:00,,,
10899,Chennai,Gov hr sec school MGR Nagar,34.7,2017-02-11T00:00:00,,,
10903,Chennai,Gov hr sec school MGR Nagar,311.8,2017-03-11T00:00:00,,,
10913,Chennai,Gov hr sec school MGR Nagar,70.5,2017-04-11T00:00:00,,,
10930,Chennai,Gov hr sec school MGR Nagar,11.3,2017-05-11T00:00:00,,,
10940,Chennai,Gov hr sec school MGR Nagar,11.3,2017-06-11T00:00:00,,,
10949,Chennai,Gov hr sec school MGR Nagar,18,2017-07-11T00:00:00,,,
10962,Chennai,Gov hr sec school MGR Nagar,16.4,2017-08-11T00:00:00,,,
10977,Chennai,Gov hr sec school MGR Nagar,3,2017-12-11T00:00:00,,,
10986,Chennai,Gov hr sec school MGR Nagar,52.4,2017-11-13T00:00:00,,,
11001,Chennai,Gov hr sec school MGR Nagar,23.1,2017-11-14T00:00:00,,,
11012,Chennai,Gov hr sec school MGR Nagar,6.2,2017-11-15T00:00:00,,,
11036,Chennai,Gov hr sec school MGR Nagar,70.1,2017-11-27T00:00:00,,,
11056,Chennai,Gov hr sec school MGR Nagar,25.4,2017-11-30T00:00:00,,,
11066,Chennai,Gov hr sec school MGR Nagar,64.2,2017-01-12T00:00:00,,,
