_id,District,Station,Rainfall,Date,,Lable,Dam
4,Chennai,Chennai nungambakkam,2,1993-03-03T00:00:00,,,
6,Chennai,Chennai nungambakkam,46.1,1993-05-16T00:00:00,,,
10,Chennai,Chennai nungambakkam,11.5,1993-05-27T00:00:00,,,
14,Chennai,Chennai nungambakkam,0.5,1993-05-28T00:00:00,,,
16,Chennai,Chennai nungambakkam,3.6,1993-04-06T00:00:00,,,
20,Chennai,Chennai nungambakkam,31.6,1993-09-06T00:00:00,,,
24,Chennai,Chennai nungambakkam,7.6,1993-06-13T00:00:00,,,
28,Chennai,Chennai nungambakkam,2.8,1993-06-14T00:00:00,,,
34,Chennai,Chennai nungambakkam,3.7,1993-06-15T00:00:00,,,
36,Chennai,Chennai nungambakkam,0.1,1993-06-21T00:00:00,,,
40,Chennai,Chennai nungambakkam,17.8,1993-02-07T00:00:00,,,
44,Chennai,Chennai nungambakkam,0.8,1993-06-07T00:00:00,,,
48,Chennai,Chennai nungambakkam,3.3,1993-07-07T00:00:00,,,
52,Chennai,Chennai nungambakkam,5.4,1993-08-07T00:00:00,,,
54,Chennai,Chennai nungambakkam,0.1,1993-09-07T00:00:00,,,
56,Chennai,Chennai nungambakkam,2.3,1993-10-07T00:00:00,,,
60,Chennai,Chennai nungambakkam,1.8,1993-07-15T00:00:00,,,
62,Chennai,Chennai nungambakkam,0.6,1993-07-16T00:00:00,,,
64,Chennai,Chennai nungambakkam,21.4,1993-07-22T00:00:00,,,
70,Chennai,Chennai nungambakkam,2,1993-07-23T00:00:00,,,
72,Chennai,Chennai nungambakkam,7.4,1993-07-24T00:00:00,,,
78,Chennai,Chennai nungambakkam,3.3,1993-07-25T00:00:00,,,
80,Chennai,Chennai nungambakkam,3.2,1993-07-26T00:00:00,,,
84,Chennai,Chennai nungambakkam,0.2,1993-07-27T00:00:00,,,
86,Chennai,Chennai nungambakkam,1.7,1993-07-28T00:00:00,,,
92,Chennai,Chennai nungambakkam,0.9,1993-07-30T00:00:00,,,
94,Chennai,Chennai nungambakkam,1.3,1993-01-08T00:00:00,,,
98,Chennai,Chennai nungambakkam,0.5,1993-04-08T00:00:00,,,
100,Chennai,Chennai nungambakkam,10,1993-06-08T00:00:00,,,
104,Chennai,Chennai nungambakkam,3.5,1993-08-08T00:00:00,,,
108,Chennai,Chennai nungambakkam,2.4,1993-09-08T00:00:00,,,
110,Chennai,Chennai nungambakkam,3.6,1993-11-08T00:00:00,,,
114,Chennai,Chennai nungambakkam,3.8,1993-08-13T00:00:00,,,
118,Chennai,Chennai nungambakkam,0.9,1993-08-14T00:00:00,,,
120,Chennai,Chennai nungambakkam,10.2,1993-08-15T00:00:00,,,
124,Chennai,Chennai nungambakkam,7.2,1993-08-16T00:00:00,,,
128,Chennai,Chennai nungambakkam,0.6,1993-08-17T00:00:00,,,
132,Chennai,Chennai nungambakkam,14.2,1993-08-18T00:00:00,,,
