_id,District,Station,Rainfall,Date,,Lable,Dam
3566,Chennai,Pachaiyappa college,5,2004-01-10T00:00:00,,,
3570,Chennai,Pachaiyappa college,26.9,2004-02-10T00:00:00,,,
3589,Chennai,Pachaiyappa college,31.4,2004-10-14T00:00:00,,,
3607,Chennai,Pachaiyappa college,4.6,2004-10-17T00:00:00,,,
3610,Chennai,Pachaiyappa college,22.4,2004-10-18T00:00:00,,,
3619,Chennai,Pachaiyappa college,28.9,2004-10-19T00:00:00,,,
3632,Chennai,Pachaiyappa college,5,2004-10-20T00:00:00,,,
3650,Chennai,Pachaiyappa college,0.4,2004-10-21T00:00:00,,,
3655,Chennai,Pachaiyappa college,12.8,2004-10-23T00:00:00,,,
3667,Chennai,Pachaiyappa college,30.2,2004-10-24T00:00:00,,,
3680,Chennai,Pachaiyappa college,4.1,2004-10-25T00:00:00,,,
3697,Chennai,Pachaiyappa college,0.7,2004-10-26T00:00:00,,,
3701,Chennai,Pachaiyappa college,8.9,2004-10-27T00:00:00,,,
3714,Chennai,Pachaiyappa college,12.2,2004-10-28T00:00:00,,,
3727,Chennai,Pachaiyappa college,50.5,2004-10-29T00:00:00,,,
3733,Chennai,Pachaiyappa college,65.1,2004-10-30T00:00:00,,,
3752,Chennai,Pachaiyappa college,7.6,2004-10-31T00:00:00,,,
3757,Chennai,Pachaiyappa college,2.5,2004-01-11T00:00:00,,,
3768,Chennai,Pachaiyappa college,0.6,2004-02-11T00:00:00,,,
3775,Chennai,Pachaiyappa college,2,2004-03-11T00:00:00,,,
3778,Chennai,Pachaiyappa college,2.33,2004-04-11T00:00:00,,,
3784,Chennai,Pachaiyappa college,0.9,2004-05-11T00:00:00,,,
3796,Chennai,Pachaiyappa college,77.4,2004-06-11T00:00:00,,,
3802,Chennai,Pachaiyappa college,64.5,2004-07-11T00:00:00,,,
3813,Chennai,Pachaiyappa college,15.9,2004-08-11T00:00:00,,,
3829,Chennai,Pachaiyappa college,0.3,2004-09-11T00:00:00,,,
3834,Chennai,Pachaiyappa college,13.4,2004-10-11T00:00:00,,,
3847,Chennai,Pachaiyappa college,0.7,2004-11-11T00:00:00,,,
3849,Chennai,Pachaiyappa college,24.1,2004-12-11T00:00:00,,,
3866,Chennai,Pachaiyappa college,71.2,2004-11-13T00:00:00,,,
3876,Chennai,Pachaiyappa college,6.4,2004-11-26T00:00:00,,,
3886,Chennai,Pachaiyappa college,4,2004-11-27T00:00:00,,,
3897,Chennai,Pachaiyappa college,0.2,2004-08-12T00:00:00,,,
3909,Chennai,Pachaiyappa college,0.2,2004-09-12T00:00:00,,,
3914,Chennai,Pachaiyappa college,0.9,2004-12-13T00:00:00,,,
3922,Chennai,Pachaiyappa college,0.2,2004-12-14T00:00:00,,,
3924,Chennai,Pachaiyappa college,0.2,2004-12-29T00:00:00,,,
3940,Chennai,Pachaiyappa college,0.2,2005-03-04T00:00:00,,,
3953,Chennai,Pachaiyappa college,16.4,2005-05-04T00:00:00,,,
3960,Chennai,Pachaiyappa college,60.8,2005-06-04T00:00:00,,,
3968,Chennai,Pachaiyappa college,1.2,2005-07-04T00:00:00,,,
3979,Chennai,Pachaiyappa college,0.8,2005-04-30T00:00:00,,,
3987,Chennai,Pachaiyappa college,25.1,2005-02-05T00:00:00,,,
4000,Chennai,Pachaiyappa college,6.8,2005-09-06T00:00:00,,,
4008,Chennai,Pachaiyappa college,2.4,2005-06-21T00:00:00,,,
4012,Chennai,Pachaiyappa college,2.4,2005-06-23T00:00:00,,,
4016,Chennai,Pachaiyappa college,3.8,2005-03-07T00:00:00,,,
