_id,District,Station,Rainfall,Date,,Lable,Dam
5869,Chennai,Purasawalkam - Perambur,2,2007-03-11T00:00:00,,,
5882,Chennai,Purasawalkam - Perambur,1.5,2007-04-11T00:00:00,,,
5884,Chennai,Purasawalkam - Perambur,20.5,2007-05-11T00:00:00,,,
5904,Chennai,Purasawalkam - Perambur,1.5,2007-11-19T00:00:00,,,
5913,Chennai,Purasawalkam - Perambur,16,2007-11-20T00:00:00,,,
5919,Chennai,Purasawalkam - Perambur,2.3,2007-11-21T00:00:00,,,
5942,Chennai,Purasawalkam - Perambur,5,2007-03-12T00:00:00,,,
5950,Chennai,Purasawalkam - Perambur,1,2007-04-12T00:00:00,,,
5962,Chennai,Purasawalkam - Perambur,1.7,2007-06-12T00:00:00,,,
5966,Chennai,Purasawalkam - Perambur,17,2007-07-12T00:00:00,,,
5990,Chennai,Purasawalkam - Perambur,17,2007-12-18T00:00:00,,,
5999,Chennai,Purasawalkam - Perambur,61,2007-12-19T00:00:00,,,
6009,Chennai,Purasawalkam - Perambur,60,2007-12-20T00:00:00,,,
6020,Chennai,Purasawalkam - Perambur,18,2008-04-01T00:00:00,,,
6032,Chennai,Purasawalkam - Perambur,21,2008-05-01T00:00:00,,,
6054,Chennai,Purasawalkam - Perambur,36,2008-03-14T00:00:00,,,
6082,Chennai,Purasawalkam - Perambur,50,2008-03-22T00:00:00,,,
6085,Chennai,Purasawalkam - Perambur,10,2008-03-23T00:00:00,,,
6103,Chennai,Purasawalkam - Perambur,8.1,2008-01-04T00:00:00,,,
6122,Chennai,Purasawalkam - Perambur,9,2008-09-06T00:00:00,,,
6132,Chennai,Purasawalkam - Perambur,2.5,2008-12-06T00:00:00,,,
6140,Chennai,Purasawalkam - Perambur,71,2008-06-22T00:00:00,,,
6153,Chennai,Purasawalkam - Perambur,0.5,2008-06-26T00:00:00,,,
6158,Chennai,Purasawalkam - Perambur,2,2008-06-28T00:00:00,,,
6177,Chennai,Purasawalkam - Perambur,20,2008-10-07T00:00:00,,,
6191,Chennai,Purasawalkam - Perambur,15,2008-07-27T00:00:00,,,
6200,Chennai,Purasawalkam - Perambur,8,2008-07-28T00:00:00,,,
6206,Chennai,Purasawalkam - Perambur,7,2008-07-29T00:00:00,,,
6223,Chennai,Purasawalkam - Perambur,4,2008-09-08T00:00:00,,,
6230,Chennai,Purasawalkam - Perambur,2,2008-11-08T00:00:00,,,
6235,Chennai,Purasawalkam - Perambur,22,2008-08-18T00:00:00,,,
6246,Chennai,Purasawalkam - Perambur,95,2008-08-20T00:00:00,,,
6256,Chennai,Purasawalkam - Perambur,3,2008-08-21T00:00:00,,,
6265,Chennai,Purasawalkam - Perambur,3,2008-08-22T00:00:00,,,
6278,Chennai,Purasawalkam - Perambur,26,2008-08-09T00:00:00,,,
6287,Chennai,Purasawalkam - Perambur,2,2008-09-09T00:00:00,,,
6294,Chennai,Purasawalkam - Perambur,2,2008-11-09T00:00:00,,,
6297,Chennai,Purasawalkam - Perambur,21,2008-09-15T00:00:00,,,
6307,Chennai,Purasawalkam - Perambur,69,2008-09-25T00:00:00,,,
6319,Chennai,Purasawalkam - Perambur,3,2008-09-30T00:00:00,,,
6328,Chennai,Purasawalkam - Perambur,19,2008-12-10T00:00:00,,,
6339,Chennai,Purasawalkam - Perambur,25,2008-10-13T00:00:00,,,
6349,Chennai,Purasawalkam - Perambur,10,2008-10-14T00:00:00,,,
6359,Chennai,Purasawalkam - Perambur,9.1,2008-10-16T00:00:00,,,
6368,Chennai,Purasawalkam - Perambur,15.1,2008-10-17T00:00:00,,,
6383,Chennai,Purasawalkam - Perambur,5,2008-10-18T00:00:00,,,
6389,Chennai,Purasawalkam - Perambur,7.1,2008-10-19T00:00:00,,,
6393,Chennai,Purasawalkam - Perambur,44,2008-10-20T00:00:00,,,
6405,Chennai,Purasawalkam - Perambur,88,2008-10-21T00:00:00,,,
6417,Chennai,Purasawalkam - Perambur,9.2,2008-10-22T00:00:00,,,
6421,Chennai,Purasawalkam - Perambur,74,2008-10-23T00:00:00,,,
6440,Chennai,Purasawalkam - Perambur,56,2008-10-25T00:00:00,,,
6451,Chennai,Purasawalkam - Perambur,3,2008-12-11T00:00:00,,,
6457,Chennai,Purasawalkam - Perambur,2,2008-11-14T00:00:00,,,
6462,Chennai,Purasawalkam - Perambur,18,2008-11-16T00:00:00,,,
