_id,District,Station,Rainfall,Date,,Lable,Dam
3,Chennai,Sholinganallur,2,1993-03-03T00:00:00,,,
5,Chennai,Sholinganallur,46.1,1993-05-16T00:00:00,,,
9,Chennai,Sholinganallur,11.5,1993-05-27T00:00:00,,,
13,Chennai,Sholinganallur,0.5,1993-05-28T00:00:00,,,
15,Chennai,Sholinganallur,3.6,1993-04-06T00:00:00,,,
19,Chennai,Sholinganallur,31.6,1993-09-06T00:00:00,,,
23,Chennai,Sholinganallur,7.6,1993-06-13T00:00:00,,,
27,Chennai,Sholinganallur,2.8,1993-06-14T00:00:00,,,
33,Chennai,Sholinganallur,3.7,1993-06-15T00:00:00,,,
35,Chennai,Sholinganallur,0.1,1993-06-21T00:00:00,,,
39,Chennai,Sholinganallur,17.8,1993-02-07T00:00:00,,,
43,Chennai,Sholinganallur,0.8,1993-06-07T00:00:00,,,
47,Chennai,Sholinganallur,3.3,1993-07-07T00:00:00,,,
51,Chennai,Sholinganallur,5.4,1993-08-07T00:00:00,,,
53,Chennai,Sholinganallur,0.1,1993-09-07T00:00:00,,,
55,Chennai,Sholinganallur,2.3,1993-10-07T00:00:00,,,
59,Chennai,Sholinganallur,1.8,1993-07-15T00:00:00,,,
61,Chennai,Sholinganallur,0.6,1993-07-16T00:00:00,,,
63,Chennai,Sholinganallur,21.4,1993-07-22T00:00:00,,,
69,Chennai,Sholinganallur,2,1993-07-23T00:00:00,,,
71,Chennai,Sholinganallur,7.4,1993-07-24T00:00:00,,,
77,Chennai,Sholinganallur,3.3,1993-07-25T00:00:00,,,
79,Chennai,Sholinganallur,3.2,1993-07-26T00:00:00,,,
83,Chennai,Sholinganallur,0.2,1993-07-27T00:00:00,,,
85,Chennai,Sholinganallur,1.7,1993-07-28T00:00:00,,,
91,Chennai,Sholinganallur,0.9,1993-07-30T00:00:00,,,
93,Chennai,Sholinganallur,1.3,1993-01-08T00:00:00,,,
97,Chennai,Sholinganallur,0.5,1993-04-08T00:00:00,,,
99,Chennai,Sholinganallur,10,1993-06-08T00:00:00,,,
103,Chennai,Sholinganallur,3.5,1993-08-08T00:00:00,,,
107,Chennai,Sholinganallur,2.4,1993-09-08T00:00:00,,,
109,Chennai,Sholinganallur,3.6,1993-11-08T00:00:00,,,
113,Chennai,Sholinganallur,3.8,1993-08-13T00:00:00,,,
117,Chennai,Sholinganallur,0.9,1993-08-14T00:00:00,,,
119,Chennai,Sholinganallur,10.2,1993-08-15T00:00:00,,,
123,Chennai,Sholinganallur,7.2,1993-08-16T00:00:00,,,
127,Chennai,Sholinganallur,0.6,1993-08-17T00:00:00,,,
131,Chennai,Sholinganallur,14.2,1993-08-18T00:00:00,,,
137,Chennai,Sholinganallur,26.6,1993-08-23T00:00:00,,,
139,Chennai,Sholinganallur,3.7,1993-08-26T00:00:00,,,
143,Chennai,Sholinganallur,5.2,1993-08-27T00:00:00,,,
