_id,District,Station,Rainfall,Date,Unnamed: 5,Lable,Dam,Label
14990,Chennai,Thiruvottiyur,23.0,2022-01-11T00:00:00,,,,1
15020,Chennai,Thiruvottiyur,99.2,2022-02-11T00:00:00,,,,1
15075,Chennai,Thiruvottiyur,2.8,2022-03-11T00:00:00,,,,0
15109,Chennai,Thiruvottiyur,45.2,2022-04-11T00:00:00,,,,1
15161,Chennai,Thiruvottiyur,3.2,2022-05-11T00:00:00,,,,0
15203,Chennai,Thiruvottiyur,4.2,2022-06-11T00:00:00,,,,0
15244,Chennai,Thiruvottiyur,0.6,2022-07-11T00:00:00,,,,0
15290,Chennai,Thiruvottiyur,8.2,2022-08-11T00:00:00,,,,0
15333,Chennai,Thiruvottiyur,8.6,2022-09-11T00:00:00,,,,0
15421,Chennai,Thiruvottiyur,46.0,2022-11-11T00:00:00,,,,1
15491,Chennai,Thiruvottiyur,6.4,2022-12-11T00:00:00,,,,0
15533,Chennai,Thiruvottiyur,27.2,2022-11-13T00:00:00,,,,1
15588,Chennai,Thiruvottiyur,2.0,2022-11-14T00:00:00,,,,0
15651,Chennai,Thiruvottiyur,4.2,2022-11-15T00:00:00,,,,0
15672,Chennai,Thiruvottiyur,0.2,2022-11-16T00:00:00,,,,0
15729,Chennai,Thiruvottiyur,0.2,2022-11-22T00:00:00,,,,0
15744,Chennai,Thiruvottiyur,5.6,2022-11-23T00:00:00,,,,0
15801,Chennai,Thiruvottiyur,0.4,2022-11-24T00:00:00,,,,0
15883,Chennai,Thiruvottiyur,1.2,2022-01-12T00:00:00,,,,0
15905,Chennai,Thiruvottiyur,1.4,2022-02-12T00:00:00,,,,0
15931,Chennai,Thiruvottiyur,2.0,2022-04-12T00:00:00,,,,0
15972,Chennai,Thiruvottiyur,44.4,2022-09-12T00:00:00,,,,1
16060,Chennai,Thiruvottiyur,50.8,2022-10-12T00:00:00,,,,1
16110,Chennai,Thiruvottiyur,3.8,2022-11-12T00:00:00,,,,0
16159,Chennai,Thiruvottiyur,1.4,2022-12-12T00:00:00,,,,0
16209,Chennai,Thiruvottiyur,14.0,2022-12-13T00:00:00,,,,1
16276,Chennai,Thiruvottiyur,1.8,2022-12-25T00:00:00,,,,0
16299,Chennai,Thiruvottiyur,9.6,2022-12-26T00:00:00,,,,0
16379,Chennai,Thiruvottiyur,0.2,2023-07-01T00:00:00,,,,0
16392,Chennai,Thiruvottiyur,0.4,2023-08-01T00:00:00,,,,0
16407,Chennai,Thiruvottiyur,0.2,2023-09-01T00:00:00,,,,0
16630,Chennai,Thiruvottiyur,1.0,2023-03-23T00:00:00,,,,0
16688,Chennai,Thiruvottiyur,0.6,2023-04-23T00:00:00,,,,0
16714,Chennai,Thiruvottiyur,0.2,2023-04-24T00:00:00,,,,0
16750,Chennai,Thiruvottiyur,0.8,2023-01-05T00:00:00,,,,0
16788,Chennai,Thiruvottiyur,32.6,2023-02-05T00:00:00,,,,1
16820,Chennai,Thiruvottiyur,3.2,2023-03-05T00:00:00,,,,0
17009,Chennai,Thiruvottiyur,0.8,2023-12-06T00:00:00,,,,0
17033,Chennai,Thiruvottiyur,0.4,2023-06-13T00:00:00,,,,0
17117,Chennai,Thiruvottiyur,34.4,2023-06-19T00:00:00,,,,1
17170,Chennai,Thiruvottiyur,34.0,2023-06-20T00:00:00,,,,1
17191,Chennai,Thiruvottiyur,11.8,2023-06-21T00:00:00,,,,1
17263,Chennai,Thiruvottiyur,0.2,2023-06-22T00:00:00,,,,0
17305,Chennai,Thiruvottiyur,1.0,2023-06-23T00:00:00,,,,0
17316,Chennai,Thiruvottiyur,15.6,2023-06-24T00:00:00,,,,1
17365,Chennai,Thiruvottiyur,3.2,2023-06-29T00:00:00,,,,0
17460,Chennai,Thiruvottiyur,1.0,2023-03-07T00:00:00,,,,0
17480,Chennai,Thiruvottiyur,0.8,2023-04-07T00:00:00,,,,0
17498,Chennai,Thiruvottiyur,0.2,2023-05-07T00:00:00,,,,0
17601,Chennai,Thiruvottiyur,3.6,2023-07-13T00:00:00,,,,0
17658,Chennai,Thiruvottiyur,0.2,2023-07-14T00:00:00,,,,0
17711,Chennai,Thiruvottiyur,0.2,2023-07-20T00:00:00,,,,0
17754,Chennai,Thiruvottiyur,0.2,2023-07-23T00:00:00,,,,0
17766,Chennai,Thiruvottiyur,2.2,2023-07-24T00:00:00,,,,0
17856,Chennai,Thiruvottiyur,2.6,2023-07-25T00:00:00,,,,0
17905,Chennai,Thiruvottiyur,0.2,2023-07-26T00:00:00,,,,0
17966,Chennai,Thiruvottiyur,2.0,2023-05-08T00:00:00,,,,0
18160,Chennai,Thiruvottiyur,0.2,2023-08-16T00:00:00,,,,0
18186,Chennai,Thiruvottiyur,1.6,2023-08-17T00:00:00,,,,0
18368,Chennai,Thiruvottiyur,44.8,2023-08-24T00:00:00,,,,1
18513,Chennai,Thiruvottiyur,6.6,2023-08-29T00:00:00,,,,0
18608,Chennai,Thiruvottiyur,0.2,2023-04-09T00:00:00,,,,0
18698,Chennai,Thiruvottiyur,2.0,2023-08-09T00:00:00,,,,0
18835,Chennai,Thiruvottiyur,0.6,2023-09-16T00:00:00,,,,0
19124,Chennai,Thiruvottiyur,0.4,2023-09-26T00:00:00,,,,0
19335,Chennai,Thiruvottiyur,0.4,2023-04-10T00:00:00,,,,0
19490,Chennai,Thiruvottiyur,2.4,2023-10-14T00:00:00,,,,0
19552,Chennai,Thiruvottiyur,0.2,2023-10-15T00:00:00,,,,0
19570,Chennai,Thiruvottiyur,0.2,2023-10-16T00:00:00,,,,0
19765,Chennai,Thiruvottiyur,4.6,2023-10-30T00:00:00,,,,0
19951,Chennai,Thiruvottiyur,0.8,2023-03-11T00:00:00,,,,0
20071,Chennai,Thiruvottiyur,0.4,2023-06-11T00:00:00,,,,0
20126,Chennai,Thiruvottiyur,21.2,2023-08-11T00:00:00,,,,1
20213,Chennai,Thiruvottiyur,39.8,2023-10-11T00:00:00,,,,1
20323,Chennai,Thiruvottiyur,5.4,2023-11-14T00:00:00,,,,0
20377,Chennai,Thiruvottiyur,36.0,2023-11-15T00:00:00,,,,1
20413,Chennai,Thiruvottiyur,12.4,2023-11-16T00:00:00,,,,1
20521,Chennai,Thiruvottiyur,44.0,2023-11-21T00:00:00,,,,1
20587,Chennai,Thiruvottiyur,23.4,2023-11-22T00:00:00,,,,1
20651,Chennai,Thiruvottiyur,6.2,2023-11-23T00:00:00,,,,0
20699,Chennai,Thiruvottiyur,1.2,2023-11-24T00:00:00,,,,0
20750,Chennai,Thiruvottiyur,6.0,2023-11-25T00:00:00,,,,0
20802,Chennai,Thiruvottiyur,0.2,2023-11-26T00:00:00,,,,0
20847,Chennai,Thiruvottiyur,18.6,2023-11-27T00:00:00,,,,1
20909,Chennai,Thiruvottiyur,1.6,2023-11-28T00:00:00,,,,0
20938,Chennai,Thiruvottiyur,30.8,2023-11-29T00:00:00,,,,1
21024,Chennai,Thiruvottiyur,14.0,2023-11-30T00:00:00,,,,1
21160,Chennai,Thiruvottiyur,12.0,2023-03-12T00:00:00,,,,1
21201,Chennai,Thiruvottiyur,94.0,2023-04-12T00:00:00,,,,1
21245,Chennai,Thiruvottiyur,0.2,2023-06-12T00:00:00,,,,0
21276,Chennai,Thiruvottiyur,1.6,2023-08-12T00:00:00,,,,0
21302,Chennai,Thiruvottiyur,0.8,2023-09-12T00:00:00,,,,0
21392,Chennai,Thiruvottiyur,4.0,2023-12-16T00:00:00,,,,0
