Year,Jan (in mcft),Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,0,0,0,0,0,0,0,0,0,0,0,725
2004,75,0,0,0,0,295,90,33,0,965,1275,1200
2005,670,1465,935,523,1271,892,458,132,1173,914,720,441
2006,671,1465,1441,1051,646,327,212,605,828,704,507,491
2007,742,1465,1465,1076,774,425,94,687,671,605,507,556
2008,1344,1465,1356,1271,924,425,318,679,1222,327,605,978
2009,589,1416,1112,623,327,52,0,0,474,376,573,763
2010,1076,1465,1258,742,376,1124,671,294,704,671,704,978
2011,978,458,77,0,0,0,0,507,704,687,687,687
2012,914,1416,1368,720,384,499,111,96,0,0,871,425
2013,499,127,26,237,56,0,0,0,1161,474,704,1003
2014,763,1296,1065,726,1003,1051,782,467,614,935,1027,838
2015,1197,1380,1258,838,791,1283,967,655,967,924,978,573
2016,488,458,0,0,0,0,0,0,0,0,0,556
2017,253,69,0,0,0,0,0,0,0,0,425,720
2018,806,409,111,0,0,0,0,0,1344,806,564,1137
2019,1453,1339,1012,589,1197,757,359,96,1251,1271,1180,1344
2020,1171,1453,1387,"1,049",597,269,228,1465,1105,687,600,978
2021,993,584,187,19,0,0,0,129,1441,935,785,957
