_id,District,Station,Rainfall,Date,,Lable,Dam
14088,Chennai,Zone 13 Adyar,115.4,2021-08-11T00:00:00,,,
14146,Chennai,Zone 13 Adyar,16,2021-09-11T00:00:00,,,
14265,Chennai,Zone 13 Adyar,6.2,2021-11-20T00:00:00,,,
14741,Chennai,Zone 13 Adyar,2.8,2022-09-28T00:00:00,,,
14966,Chennai,Zone 13 Adyar,68.7,2022-01-11T00:00:00,,,
15037,Chennai,Zone 13 Adyar,20.4,2022-03-11T00:00:00,,,
15108,Chennai,Zone 13 Adyar,48.3,2022-04-11T00:00:00,,,
15180,Chennai,Zone 13 Adyar,1.2,2022-05-11T00:00:00,,,
15230,Chennai,Zone 13 Adyar,0.9,2022-06-11T00:00:00,,,
15243,Chennai,Zone 13 Adyar,0.6,2022-07-11T00:00:00,,,
15256,Chennai,Zone 13 Adyar,33.9,2022-08-11T00:00:00,,,
15308,Chennai,Zone 13 Adyar,27.9,2022-09-11T00:00:00,,,
15399,Chennai,Zone 13 Adyar,67.5,2022-11-11T00:00:00,,,
15443,Chennai,Zone 13 Adyar,82.8,2022-12-11T00:00:00,,,
15511,Chennai,Zone 13 Adyar,38.1,2022-11-13T00:00:00,,,
15551,Chennai,Zone 13 Adyar,28.5,2022-11-14T00:00:00,,,
15624,Chennai,Zone 13 Adyar,23.4,2022-11-15T00:00:00,,,
15658,Chennai,Zone 13 Adyar,1.5,2022-11-16T00:00:00,,,
15690,Chennai,Zone 13 Adyar,5.7,2022-11-22T00:00:00,,,
15758,Chennai,Zone 13 Adyar,2.7,2022-11-23T00:00:00,,,
15785,Chennai,Zone 13 Adyar,4.5,2022-11-24T00:00:00,,,
15870,Chennai,Zone 13 Adyar,3.9,2022-01-12T00:00:00,,,
15947,Chennai,Zone 13 Adyar,0.6,2022-04-12T00:00:00,,,
15997,Chennai,Zone 13 Adyar,0.9,2022-09-12T00:00:00,,,
16044,Chennai,Zone 13 Adyar,90.6,2022-10-12T00:00:00,,,
16098,Chennai,Zone 13 Adyar,7.2,2022-11-12T00:00:00,,,
16152,Chennai,Zone 13 Adyar,4.8,2022-12-12T00:00:00,,,
16185,Chennai,Zone 13 Adyar,27.6,2022-12-13T00:00:00,,,
16243,Chennai,Zone 13 Adyar,21.6,2022-12-25T00:00:00,,,
