_id,District,Station,Rainfall,Date,,Lable,Dam
14104,Chennai,Zone 01 Kathivakkam,76.6,2021-08-11T00:00:00,,,
14149,Chennai,Zone 01 Kathivakkam,14.6,2021-09-11T00:00:00,,,
14243,Chennai,Zone 01 Kathivakkam,16.8,2021-11-20T00:00:00,,,
14946,Chennai,Zone 01 Kathivakkam,154.8,2022-01-11T00:00:00,,,
15065,Chennai,Zone 01 Kathivakkam,6.6,2022-03-11T00:00:00,,,
15128,Chennai,Zone 01 Kathivakkam,17.1,2022-04-11T00:00:00,,,
15142,Chennai,Zone 01 Kathivakkam,8.4,2022-05-11T00:00:00,,,
15249,Chennai,Zone 01 Kathivakkam,51.3,2022-08-11T00:00:00,,,
15313,Chennai,Zone 01 Kathivakkam,24.3,2022-09-11T00:00:00,,,
15394,Chennai,Zone 01 Kathivakkam,73.8,2022-11-11T00:00:00,,,
15475,Chennai,Zone 01 Kathivakkam,37.5,2022-12-11T00:00:00,,,
15493,Chennai,Zone 01 Kathivakkam,73.5,2022-11-13T00:00:00,,,
15583,Chennai,Zone 01 Kathivakkam,3.9,2022-11-14T00:00:00,,,
15604,Chennai,Zone 01 Kathivakkam,51.3,2022-11-15T00:00:00,,,
15652,Chennai,Zone 01 Kathivakkam,40.8,2022-11-16T00:00:00,,,
15685,Chennai,Zone 01 Kathivakkam,0.9,2022-11-21T00:00:00,,,
15691,Chennai,Zone 01 Kathivakkam,4.8,2022-11-22T00:00:00,,,
15733,Chennai,Zone 01 Kathivakkam,29.4,2022-11-23T00:00:00,,,
15786,Chennai,Zone 01 Kathivakkam,3,2022-11-24T00:00:00,,,
15824,Chennai,Zone 01 Kathivakkam,0.3,2022-11-25T00:00:00,,,
15835,Chennai,Zone 01 Kathivakkam,1.2,2022-11-26T00:00:00,,,
15852,Chennai,Zone 01 Kathivakkam,15,2022-01-12T00:00:00,,,
15927,Chennai,Zone 01 Kathivakkam,2.7,2022-04-12T00:00:00,,,
16005,Chennai,Zone 01 Kathivakkam,0.3,2022-09-12T00:00:00,,,
16039,Chennai,Zone 01 Kathivakkam,97.5,2022-10-12T00:00:00,,,
16089,Chennai,Zone 01 Kathivakkam,8.4,2022-11-12T00:00:00,,,
16143,Chennai,Zone 01 Kathivakkam,9.6,2022-12-12T00:00:00,,,
16201,Chennai,Zone 01 Kathivakkam,21.6,2022-12-13T00:00:00,,,
16272,Chennai,Zone 01 Kathivakkam,3.6,2022-12-25T00:00:00,,,
16328,Chennai,Zone 01 Kathivakkam,0.3,2022-12-26T00:00:00,,,
16418,Chennai,Zone 01 Kathivakkam,1.5,2023-01-21T00:00:00,,,
16450,Chennai,Zone 01 Kathivakkam,2.4,2023-02-02T00:00:00,,,
16501,Chennai,Zone 01 Kathivakkam,35.7,2023-03-18T00:00:00,,,
16549,Chennai,Zone 01 Kathivakkam,2.4,2023-03-19T00:00:00,,,
16590,Chennai,Zone 01 Kathivakkam,8.1,2023-03-20T00:00:00,,,
16602,Chennai,Zone 01 Kathivakkam,27.6,2023-03-21T00:00:00,,,
16654,Chennai,Zone 01 Kathivakkam,0.3,2023-03-24T00:00:00,,,
16682,Chennai,Zone 01 Kathivakkam,1.2,2023-04-23T00:00:00,,,
16759,Chennai,Zone 01 Kathivakkam,162.9,2023-02-05T00:00:00,,,
16807,Chennai,Zone 01 Kathivakkam,22.5,2023-03-05T00:00:00,,,
16884,Chennai,Zone 01 Kathivakkam,0.3,2023-05-31T00:00:00,,,
17024,Chennai,Zone 01 Kathivakkam,1.5,2023-06-13T00:00:00,,,
17118,Chennai,Zone 01 Kathivakkam,33.3,2023-06-19T00:00:00,,,
17148,Chennai,Zone 01 Kathivakkam,52.8,2023-06-20T00:00:00,,,
17183,Chennai,Zone 01 Kathivakkam,51.3,2023-06-21T00:00:00,,,
