_id,District,Station,Rainfall,Date,,Lable,Dam
14095,Chennai,Zone 02 D15 Manali,102.6,2021-08-11T00:00:00,,,
14147,Chennai,Zone 02 D15 Manali,15.8,2021-09-11T00:00:00,,,
14239,Chennai,Zone 02 D15 Manali,22,2021-11-20T00:00:00,,,
14948,Chennai,Zone 02 D15 Manali,140.4,2022-01-11T00:00:00,,,
15076,Chennai,Zone 02 D15 Manali,1.8,2022-03-11T00:00:00,,,
15105,Chennai,Zone 02 D15 Manali,51,2022-04-11T00:00:00,,,
15135,Chennai,Zone 02 D15 Manali,20.4,2022-05-11T00:00:00,,,
15233,Chennai,Zone 02 D15 Manali,0.3,2022-06-11T00:00:00,,,
15267,Chennai,Zone 02 D15 Manali,20.7,2022-08-11T00:00:00,,,
15318,Chennai,Zone 02 D15 Manali,20.7,2022-09-11T00:00:00,,,
15365,Chennai,Zone 02 D15 Manali,2.1,2022-10-11T00:00:00,,,
15402,Chennai,Zone 02 D15 Manali,61.5,2022-11-11T00:00:00,,,
15470,Chennai,Zone 02 D15 Manali,47.4,2022-12-11T00:00:00,,,
15497,Chennai,Zone 02 D15 Manali,54.3,2022-11-13T00:00:00,,,
15578,Chennai,Zone 02 D15 Manali,12,2022-11-14T00:00:00,,,
15638,Chennai,Zone 02 D15 Manali,13.2,2022-11-15T00:00:00,,,
15655,Chennai,Zone 02 D15 Manali,7.8,2022-11-16T00:00:00,,,
15715,Chennai,Zone 02 D15 Manali,0.9,2022-11-22T00:00:00,,,
15732,Chennai,Zone 02 D15 Manali,51.3,2022-11-23T00:00:00,,,
15836,Chennai,Zone 02 D15 Manali,0.3,2022-11-26T00:00:00,,,
15860,Chennai,Zone 02 D15 Manali,6.6,2022-01-12T00:00:00,,,
15934,Chennai,Zone 02 D15 Manali,1.2,2022-04-12T00:00:00,,,
16006,Chennai,Zone 02 D15 Manali,0.3,2022-09-12T00:00:00,,,
16055,Chennai,Zone 02 D15 Manali,67.8,2022-10-12T00:00:00,,,
16100,Chennai,Zone 02 D15 Manali,6.9,2022-11-12T00:00:00,,,
16115,Chennai,Zone 02 D15 Manali,36.9,2022-12-12T00:00:00,,,
16186,Chennai,Zone 02 D15 Manali,27,2022-12-13T00:00:00,,,
16268,Chennai,Zone 02 D15 Manali,6.6,2022-12-25T00:00:00,,,
16324,Chennai,Zone 02 D15 Manali,3.9,2022-12-26T00:00:00,,,
16461,Chennai,Zone 02 D15 Manali,0.3,2023-02-02T00:00:00,,,
16516,Chennai,Zone 02 D15 Manali,3,2023-03-18T00:00:00,,,
16541,Chennai,Zone 02 D15 Manali,7.5,2023-03-19T00:00:00,,,
16594,Chennai,Zone 02 D15 Manali,5.4,2023-03-20T00:00:00,,,
16600,Chennai,Zone 02 D15 Manali,45,2023-03-21T00:00:00,,,
16638,Chennai,Zone 02 D15 Manali,4.5,2023-03-24T00:00:00,,,
16667,Chennai,Zone 02 D15 Manali,2.7,2023-04-23T00:00:00,,,
16743,Chennai,Zone 02 D15 Manali,2.4,2023-01-05T00:00:00,,,
16758,Chennai,Zone 02 D15 Manali,166.2,2023-02-05T00:00:00,,,
16826,Chennai,Zone 02 D15 Manali,2.4,2023-03-05T00:00:00,,,
16858,Chennai,Zone 02 D15 Manali,19.5,2023-06-05T00:00:00,,,
16996,Chennai,Zone 02 D15 Manali,2.4,2023-12-06T00:00:00,,,
17119,Chennai,Zone 02 D15 Manali,29.7,2023-06-19T00:00:00,,,
17151,Chennai,Zone 02 D15 Manali,50.1,2023-06-20T00:00:00,,,
17192,Chennai,Zone 02 D15 Manali,11.4,2023-06-21T00:00:00,,,
17301,Chennai,Zone 02 D15 Manali,1.5,2023-06-23T00:00:00,,,
17341,Chennai,Zone 02 D15 Manali,3.3,2023-06-24T00:00:00,,,
17374,Chennai,Zone 02 D15 Manali,0.9,2023-06-29T00:00:00,,,
17394,Chennai,Zone 02 D15 Manali,1.5,2023-06-30T00:00:00,,,
17456,Chennai,Zone 02 D15 Manali,1.2,2023-03-07T00:00:00,,,
17483,Chennai,Zone 02 D15 Manali,0.6,2023-04-07T00:00:00,,,
17510,Chennai,Zone 02 D15 Manali,30.9,2023-10-07T00:00:00,,,
17598,Chennai,Zone 02 D15 Manali,5.1,2023-07-13T00:00:00,,,
17609,Chennai,Zone 02 D15 Manali,9.9,2023-07-14T00:00:00,,,
17663,Chennai,Zone 02 D15 Manali,8.4,2023-07-15T00:00:00,,,
17703,Chennai,Zone 02 D15 Manali,0.3,2023-07-20T00:00:00,,,
