_id,District,Station,Rainfall,Date,,Lable,Dam
14085,Chennai,Zone 03 Madhavaram,124.8,2021-08-11T00:00:00,,,
14150,Chennai,Zone 03 Madhavaram,12.6,2021-09-11T00:00:00,,,
14253,Chennai,Zone 03 Madhavaram,12,2021-11-20T00:00:00,,,
14984,Chennai,Zone 03 Madhavaram,29.7,2022-01-11T00:00:00,,,
15077,Chennai,Zone 03 Madhavaram,0.9,2022-03-11T00:00:00,,,
15130,Chennai,Zone 03 Madhavaram,15.6,2022-04-11T00:00:00,,,
15185,Chennai,Zone 03 Madhavaram,0.3,2022-05-11T00:00:00,,,
15228,Chennai,Zone 03 Madhavaram,0.9,2022-06-11T00:00:00,,,
15296,Chennai,Zone 03 Madhavaram,5.1,2022-08-11T00:00:00,,,
15321,Chennai,Zone 03 Madhavaram,18.3,2022-09-11T00:00:00,,,
15373,Chennai,Zone 03 Madhavaram,0.6,2022-10-11T00:00:00,,,
15409,Chennai,Zone 03 Madhavaram,56.7,2022-11-11T00:00:00,,,
15477,Chennai,Zone 03 Madhavaram,36.6,2022-12-11T00:00:00,,,
15536,Chennai,Zone 03 Madhavaram,24.3,2022-11-13T00:00:00,,,
15579,Chennai,Zone 03 Madhavaram,10.8,2022-11-14T00:00:00,,,
15650,Chennai,Zone 03 Madhavaram,4.5,2022-11-15T00:00:00,,,
15659,Chennai,Zone 03 Madhavaram,1.2,2022-11-16T00:00:00,,,
15680,Chennai,Zone 03 Madhavaram,0.9,2022-11-19T00:00:00,,,
15720,Chennai,Zone 03 Madhavaram,0.6,2022-11-22T00:00:00,,,
15748,Chennai,Zone 03 Madhavaram,4.5,2022-11-23T00:00:00,,,
15865,Chennai,Zone 03 Madhavaram,5.1,2022-01-12T00:00:00,,,
16007,Chennai,Zone 03 Madhavaram,0.3,2022-09-12T00:00:00,,,
16103,Chennai,Zone 03 Madhavaram,6.6,2022-11-12T00:00:00,,,
16163,Chennai,Zone 03 Madhavaram,0.3,2022-12-12T00:00:00,,,
16206,Chennai,Zone 03 Madhavaram,17.1,2022-12-13T00:00:00,,,
16275,Chennai,Zone 03 Madhavaram,2.1,2022-12-25T00:00:00,,,
16305,Chennai,Zone 03 Madhavaram,9,2022-12-26T00:00:00,,,
16334,Chennai,Zone 03 Madhavaram,1.2,2022-12-27T00:00:00,,,
16522,Chennai,Zone 03 Madhavaram,0.3,2023-03-18T00:00:00,,,
16536,Chennai,Zone 03 Madhavaram,11.4,2023-03-19T00:00:00,,,
16595,Chennai,Zone 03 Madhavaram,5.1,2023-03-20T00:00:00,,,
16604,Chennai,Zone 03 Madhavaram,22.2,2023-03-21T00:00:00,,,
