_id,District,Station,Rainfall,Date,,Lable,Dam
14078,Chennai,Zone 04 Tondiarpet,157.8,2021-08-11T00:00:00,,,
14127,Chennai,Zone 04 Tondiarpet,31.2,2021-09-11T00:00:00,,,
14242,Chennai,Zone 04 Tondiarpet,17.2,2021-11-20T00:00:00,,,
14949,Chennai,Zone 04 Tondiarpet,140.1,2022-01-11T00:00:00,,,
15067,Chennai,Zone 04 Tondiarpet,4.8,2022-03-11T00:00:00,,,
15093,Chennai,Zone 04 Tondiarpet,74.1,2022-04-11T00:00:00,,,
15157,Chennai,Zone 04 Tondiarpet,4.8,2022-05-11T00:00:00,,,
15197,Chennai,Zone 04 Tondiarpet,6.6,2022-06-11T00:00:00,,,
15257,Chennai,Zone 04 Tondiarpet,32.7,2022-08-11T00:00:00,,,
15332,Chennai,Zone 04 Tondiarpet,9,2022-09-11T00:00:00,,,
15386,Chennai,Zone 04 Tondiarpet,85.8,2022-11-11T00:00:00,,,
15481,Chennai,Zone 04 Tondiarpet,27,2022-12-11T00:00:00,,,
15543,Chennai,Zone 04 Tondiarpet,20.1,2022-11-13T00:00:00,,,
15552,Chennai,Zone 04 Tondiarpet,26.4,2022-11-14T00:00:00,,,
15610,Chennai,Zone 04 Tondiarpet,37.2,2022-11-15T00:00:00,,,
15716,Chennai,Zone 04 Tondiarpet,0.9,2022-11-22T00:00:00,,,
15737,Chennai,Zone 04 Tondiarpet,12.3,2022-11-23T00:00:00,,,
15804,Chennai,Zone 04 Tondiarpet,0.3,2022-11-24T00:00:00,,,
15885,Chennai,Zone 04 Tondiarpet,1.2,2022-01-12T00:00:00,,,
15990,Chennai,Zone 04 Tondiarpet,1.2,2022-09-12T00:00:00,,,
16028,Chennai,Zone 04 Tondiarpet,108.3,2022-10-12T00:00:00,,,
16065,Chennai,Zone 04 Tondiarpet,15.9,2022-11-12T00:00:00,,,
16138,Chennai,Zone 04 Tondiarpet,12.9,2022-12-12T00:00:00,,,
16192,Chennai,Zone 04 Tondiarpet,24.3,2022-12-13T00:00:00,,,
16224,Chennai,Zone 04 Tondiarpet,47.4,2022-12-25T00:00:00,,,
16291,Chennai,Zone 04 Tondiarpet,14.4,2022-12-26T00:00:00,,,
16341,Chennai,Zone 04 Tondiarpet,0.6,2022-12-27T00:00:00,,,
16351,Chennai,Zone 04 Tondiarpet,1.5,2022-12-28T00:00:00,,,
16369,Chennai,Zone 04 Tondiarpet,2.4,2023-07-01T00:00:00,,,
16394,Chennai,Zone 04 Tondiarpet,0.3,2023-08-01T00:00:00,,,
16411,Chennai,Zone 04 Tondiarpet,3,2023-01-21T00:00:00,,,
16452,Chennai,Zone 04 Tondiarpet,1.5,2023-02-02T00:00:00,,,
16485,Chennai,Zone 04 Tondiarpet,1.2,2023-03-17T00:00:00,,,
16538,Chennai,Zone 04 Tondiarpet,8.7,2023-03-19T00:00:00,,,
16575,Chennai,Zone 04 Tondiarpet,16.2,2023-03-20T00:00:00,,,
16603,Chennai,Zone 04 Tondiarpet,23.7,2023-03-21T00:00:00,,,
16632,Chennai,Zone 04 Tondiarpet,0.6,2023-03-23T00:00:00,,,
16709,Chennai,Zone 04 Tondiarpet,0.3,2023-04-24T00:00:00,,,
16769,Chennai,Zone 04 Tondiarpet,53.7,2023-02-05T00:00:00,,,
16818,Chennai,Zone 04 Tondiarpet,3.9,2023-03-05T00:00:00,,,
16879,Chennai,Zone 04 Tondiarpet,0.9,2023-05-30T00:00:00,,,
16981,Chennai,Zone 04 Tondiarpet,11.7,2023-12-06T00:00:00,,,
